開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2020-10-11,2020-12-27,放送,AT-X,,日曜 23:30 - 月曜 0:00,2020年10月11日 - 12月27日,製作参加 / CS放送 / リピート放送あり
2020-10-12,2020-12-28,放送,TOKYO MX,,月曜 0:30 - 1:00（日曜深夜）,2020年10月12日 - 12月28日,
2020-10-13,2020-12-29,放送,BS日テレ,,火曜 0:00 - 0:30（月曜深夜）,2020年10月13日 - 12月29日,製作参加 / BS放送 / 『アニメにむちゅ〜』枠
2020-10-14,,放送,毎日放送,,水曜 3:30 - 4:00（火曜深夜）月曜 2:30 - 3:00（日曜深夜）,2020年10月14日 - 12月23日2021年1月10日,『アニメ特区』第3部
2020-10-18,,放送,山梨放送,,日曜 13:00 - 13:30日曜 1:30 - 2:00（土曜深夜）,2020年10月18日 - 11月8日2020年11月21日 - 2021年1月16日,
2020-10-12,,配信,,dアニメストア,月曜 0:00 更新,2020年10月12日,「第0幕 とくばん！」も配信。
2020-10-19,,配信,,Amazonプライム・ビデオ,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,Hulu,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,バンダイチャンネル,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,J:COMオンデマンド,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,TELASA,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,ABEMA,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,U-NEXT,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,アニメ放題,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,ひかりTV,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,FOD,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,niconico,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,GYAO!,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,MBS動画イズム,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,TVer,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,あにてれ,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,Rakuten TV,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,ビデオマーケット,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,クランクイン!ビデオ,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,DMM.com,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,HAPPY!動画,月曜 0:00 更新,2020年10月19日,
2020-10-19,,配信,,ムービーフル,月曜 0:00 更新,2020年10月19日,
