開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2020-01-11,2020-03-28,放送,AT-X,,土曜 23:00 - 23:30,2020年1月11日 - 3月28日,製作参加 / R15+指定 / CS放送 / リピート放送あり
2020-01-12,2020-02-02,放送,TOKYO MX,,日曜 1:30 - 2:00（土曜深夜）,2020年1月12日 - 2月2日,「編成上の都合」により第4話で打ち切り[19]
2020-01-12,2020-03-29,放送,BS11,,日曜 1:30 - 2:00（土曜深夜）,2020年1月12日 - 3月29日,BS放送 / 『ANIME+』枠
2020-01-13,2020-03-30,放送,KBS京都,,月曜 2:10 - 2:40（日曜深夜）,2020年1月13日 - 3月30日,
2020-01-16,2020-02-13,放送,サンテレビ,,木曜 2:00 - 2:30（水曜深夜）,2020年1月16日 - 2月13日,「編成上の都合」により第5話で打ち切り
2020-02-29,2020-04-03,放送,岐阜放送,,土曜 2:30 - 3:00（金曜深夜）,2020年2月29日 - 4月3日,第2話から第7話は3日連続で2話連続放送
2020-03-08,2020-04-11,放送,びわ湖放送,,日曜 2:55 - 3:55（土曜深夜）,2020年3月8日 - 4月11日,2話連続放送
2020-03-10,2020-03-30,放送,奈良テレビ,,放送時間不定（集中放送）,2020年3月10日 - 3月30日,
2020-01-11,,配信,,dアニメストア,土曜 23:30 更新,2020年1月11日,6日遅れで裏オプ版を配信
2020-01-11,,配信,,niconico,土曜 23:30 更新,2020年1月11日,6日遅れで裏オプ版を配信
2020-01-18,,配信,,U-NEXT,土曜更新,2020年1月18日,6日遅れで裏オプ版を配信
2020-01-18,,配信,,アニメ放題,土曜更新,2020年1月18日,6日遅れで裏オプ版を配信
2020-01-18,,配信,,ビデオパス,土曜更新,2020年1月18日,6日遅れで裏オプ版を配信
2020-01-18,,配信,,J:COMオンデマンド,土曜更新,2020年1月18日,6日遅れで裏オプ版を配信
2020-01-18,,配信,,ひかりTV,土曜更新,2020年1月18日,6日遅れで裏オプ版を配信
2020-01-18,,配信,,AbemaTV,土曜更新,2020年1月18日,6日遅れで裏オプ版を配信
2020-01-18,,配信,,Amazonプライム・ビデオ,土曜更新,2020年1月18日,
2020-01-18,,配信,,バンダイチャンネル,土曜更新,2020年1月18日,
2020-01-18,,配信,,GYAO!,土曜更新,2020年1月18日,
2020-01-18,,配信,,FOD,土曜更新,2020年1月18日,
2020-01-18,,配信,,Rakuten TV,土曜更新,2020年1月18日,
2020-01-18,,配信,,ビデオマーケット,土曜更新,2020年1月18日,
2020-01-18,,配信,,DMM.com,土曜更新,2020年1月18日,
2020-01-18,,配信,,HAPPY!動画,土曜更新,2020年1月18日,
2020-01-18,,配信,,ムービーフル,土曜更新,2020年1月18日,
2020-01-18,,配信,,クランクイン！ビデオ,土曜更新,2020年1月18日,
