開始,終了,タイプ,放送局,配信サイト,時間
2013-04-06,2013-06-22,放送,TOKYO MX,,土曜 1:30 - 2:00（金曜深夜）
2013-04-07,2013-06-23,放送,AT-X,,日曜 20:30 - 21:00
2013-04-08,2013-06-24,放送,テレビ埼玉,,月曜 0:00 - 0:30（日曜深夜）
2013-04-08,2013-06-24,放送,千葉テレビ,,月曜 0:00 - 0:30（日曜深夜）
2013-04-08,2013-06-24,放送,テレビ神奈川,,月曜 0:00 - 0:30（日曜深夜）
2013-04-08,2013-06-24,放送,サンテレビ,,月曜 0:30 - 1:00（日曜深夜）
2013-04-08,2013-06-24,放送,TVQ九州放送,,月曜 2:30 - 3:00（日曜深夜）
2013-04-09,2013-06-25,放送,TwellV,,火曜 2:00 - 2:30（月曜深夜）
2013-04-10,2013-06-26,放送,岐阜放送,,水曜 0:00 - 0:30（火曜深夜）
2013-04-11,2013-06-27,放送,三重テレビ,,木曜 1:20 - 1:50（水曜深夜）
2013-03-31,,配信,,ニコニコ生放送,日曜 0:00 - 0:30（土曜深夜）
2014-04-12,2014-06-14,放送,TOKYO MX,,土曜 1:35 - 2:05（金曜深夜）
2014-04-13,2014-06-15,放送,BS11,,日曜 3:00 - 3:30（土曜深夜）
2014-04-13,2014-06-15,放送,AT-X,,日曜 19:30 - 20:00
2014-04-14,2014-06-16,放送,テレビ埼玉,,月曜 0:00 - 0:30（日曜深夜）
2014-04-14,2014-06-16,放送,千葉テレビ,,月曜 0:00 - 0:30（日曜深夜）
2014-04-14,2014-06-16,放送,テレビ神奈川,,月曜 0:00 - 0:30（日曜深夜）
2014-04-14,2014-06-16,放送,サンテレビ,,月曜 0:30 - 1:00（日曜深夜）
2014-04-14,2014-06-16,放送,TVQ九州放送,,月曜 2:30 - 3:00（日曜深夜）
2014-04-16,2014-06-18,放送,岐阜放送,,水曜 0:00 - 0:30（火曜深夜）
2014-04-17,2014-06-19,放送,三重テレビ,,木曜 1:20 - 1:50（水曜深夜）
2014-04-18,,配信,,dアニメストア[21],金曜 12:00 更新
2014-04-20,,配信,,GYAO!,日曜 0:00 更新（土曜深夜）
2019-01-11,2019-03-29,放送,AT-X,,金曜 21:30 - 22:00
2019-01-12,2019-03-30,放送,TOKYO MX,,土曜 1:40 - 2:10（金曜深夜）
2019-01-12,2019-03-30,放送,KBS京都,,土曜 1:40 - 2:10（金曜深夜）
2019-01-13,2019-03-31,放送,テレビ愛知,,日曜 1:50 - 2:20（土曜深夜）
2019-01-13,2019-03-31,放送,BS11,,日曜 3:00 - 3:30（土曜深夜）
2019-01-14,2019-04-01,放送,サンテレビ,,月曜 0:30 - 1:00（日曜深夜）
2019-01-14,2019-04-01,放送,TVQ九州放送,,月曜 2:35 - 3:05（日曜深夜）
2019-01-11,,配信,,dアニメストア,金曜 22:00 更新
2019-01-11,,配信,,AbemaTV,金曜 22:00 更新
2019-01-18,,配信,,Netflix,金曜 0:00 更新
2019-01-18,,配信,,Amazonプライム・ビデオ,金曜 0:00 更新
2019-01-18,,配信,,niconico,金曜 0:00 更新
2019-01-18,,配信,,バンダイチャンネル,金曜 0:00 更新
2019-01-18,,配信,,Hulu,金曜 0:00 更新
2019-01-18,,配信,,ビデオパス,金曜 0:00 更新
2019-01-18,,配信,,J:COMオンデマンド,金曜 0:00 更新
2019-01-18,,配信,,ひかりTV,金曜 0:00 更新
2019-01-18,,配信,,U-NEXT,金曜 0:00 更新
2019-01-18,,配信,,アニメ放題,金曜 0:00 更新
2019-01-18,,配信,,GYAO!,金曜 0:00 更新
2019-01-18,,配信,,あにてれ,金曜 0:00 更新
2019-01-18,,配信,,Rakuten TV,金曜 0:00 更新
2019-01-18,,配信,,ビデオマーケット,金曜 0:00 更新
2019-01-18,,配信,,DMM.com,金曜 0:00 更新
2019-01-18,,配信,,PlayStation Store,金曜 0:00 更新
2019-01-18,,配信,,HAPPY!動画,金曜 0:00 更新
2022-04-08,2022-06-24,放送,AT-X,,金曜 22:00 - 22:30
2022-04-09,2022-06-25,放送,TOKYO MX,,土曜 1:00 - 1:30（金曜深夜）
2022-04-09,2022-06-25,放送,BS11,,土曜 1:00 - 1:30（金曜深夜）
2022-04-09,2022-06-25,放送,KBS京都,,土曜 23:30 - 日曜 0:00
2022-04-11,2022-06-27,放送,サンテレビ,,月曜 1:00 - 1:30（日曜深夜）
2022-04-08,,配信,,dアニメストア,金曜 23:00 更新
2022-04-15,,配信,,ABEMA,金曜 23:00以降順次配信
2022-04-15,,配信,,niconico,金曜 23:00以降順次配信
2022-04-15,,配信,,GYAO!,金曜 23:00以降順次配信
