開始,終了,タイプ,放送局,配信サイト,時間
2020-04-04,2020-06-20,放送,毎日放送,,土曜 2:25 - 2:55（金曜深夜）
2020-04-04,2020-06-20,放送,TBSテレビ,,土曜 2:25 - 2:55（金曜深夜）
2020-04-04,2020-06-20,放送,BS-TBS,,土曜 3:00 - 3:30（金曜深夜）
2020-04-06,2020-06-22,放送,北海道放送,,月曜 1:25 - 1:55（日曜深夜）
2020-04-07,2020-06-23,放送,AT-X,,火曜 23:00 - 23:30
2020-04-18,2020-07-04,放送,山陰放送,,土曜 1:55 - 2:25（金曜深夜）
2020-04-22,2020-07-08,放送,静岡放送,,水曜 1:55 - 2:24（火曜深夜）
2020-04-04,,配信,,dアニメストア,土曜 2:55（金曜深夜） 更新
2020-04-04,,配信,,U-NEXT,土曜 2:55（金曜深夜） 更新
2020-04-04,,配信,,アニメ放題,土曜 2:55（金曜深夜） 更新
2020-04-07,,配信,,DMM.com,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,FOD,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,GYAO!,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,Netflix,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,ひかりTV,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,MBS動画イズム,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,ニコニコチャンネル,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,dTV,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,ビデオマーケット,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,TVer,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,クランクイン!ビデオ,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,music.jp,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,Amazonプライム・ビデオ,火曜 2:55（月曜深夜） 更新
2020-04-07,,配信,,バンダイチャンネル,火曜 12:00 更新
2020-04-07,,配信,,J:COMオンデマンド,火曜 12:00 更新
2020-04-07,,配信,,Hulu,火曜 12:00 更新
2020-04-07,,配信,,auスマートパスプレミアム,火曜 12:00 更新
2020-04-07,,配信,,TELASA,火曜 12:00 更新
2020-04-07,,配信,,ニコニコ生放送,火曜 22:30 - 23:00
