開始,終了,タイプ,放送局,配信サイト,時間,期間
2022-01-09,2022-03-27,放送,TOKYO MX,,日曜 0:30 - 1:00（土曜深夜）[注釈 26],2022年1月9日 - 3月27日
2022-01-09,2022-03-27,放送,とちぎテレビ,,日曜 0:30 - 1:00（土曜深夜）[注釈 26],2022年1月9日 - 3月27日
2022-01-09,2022-03-27,放送,群馬テレビ,,日曜 0:30 - 1:00（土曜深夜）[注釈 26],2022年1月9日 - 3月27日
2022-01-09,2022-03-27,放送,BS11,,日曜 0:30 - 1:00（土曜深夜）[注釈 26],2022年1月9日 - 3月27日
2022-01-09,2022-03-27,放送,毎日放送,,日曜 2:08 - 2:38（土曜深夜）,2022年1月9日 - 3月27日
2022-01-09,2022-03-27,放送,BS朝日,,日曜 23:00 - 23:30,2022年1月9日 - 3月27日
2022-01-10,2022-03-28,放送,AT-X,,月曜 21:00 - 21:30,2022年1月10日 - 3月28日
2022-01-09,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,日曜 1:00（土曜深夜） 更新,2022年1月9日
2022-01-11,,配信,,バンダイチャンネル,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,Hulu,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,ニコニコチャンネル,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,GYAO!,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,U-NEXT,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,アニメ放題,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,ABEMA,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,Amazon Prime Video,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,ひかりTV,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,FOD,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,アニメカ,火曜 12:00 更新,2022年1月11日
2022-01-11,,配信,,ニコニコ生放送,火曜 23:30 - 水曜 0:00,2022年1月11日
2022-01-12,,配信,,J:COMオンデマンド,水曜 0:00（火曜深夜） 更新,2022年1月12日
2022-01-12,,配信,,auスマートパスプレミアム,水曜 0:00（火曜深夜） 更新,2022年1月12日
2022-01-12,,配信,,TELASA,水曜 0:00（火曜深夜） 更新,2022年1月12日
2022-01-12,,配信,,milplus,水曜 0:00（火曜深夜） 更新,2022年1月12日
