開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2009-10-03,2010-03-20,放送,TOKYO MX,,土曜 1:30 - 2:00（金曜深夜）,2009年10月3日 - 2010年3月20日,東京都,
2009-10-04,2010-03-21,放送,テレ玉,,日曜 1:30 - 2:00（土曜深夜）,2009年10月4日 - 2010年3月21日,埼玉県,
2009-10-04,2010-03-21,放送,チバテレビ,,日曜 1:35 - 2:05（土曜深夜）,2009年10月4日 - 2010年3月21日,千葉県,
2009-10-04,2010-03-21,放送,毎日放送,,日曜 1:58 - 2:28（土曜深夜）,2009年10月4日 - 2010年3月21日,近畿広域圏,『アニメシャワー』第1部
2009-10-04,2010-03-21,放送,テレビ神奈川,,日曜 2:30 - 3:00（土曜深夜）,2009年10月4日 - 2010年3月21日,神奈川県,
2009-10-05,2010-03-22,放送,AT-X,,月曜 23:00 - 23:30,2009年10月5日 - 2010年3月22日,日本全域,製作参加 / CS放送 / リピート放送あり
2009-10-08,2010-03-25,放送,中部日本放送,,木曜 1:29 - 2:00（水曜深夜）,2009年10月8日 - 2010年3月25日,中京広域圏,
2009-10-09,,配信,,ムービーゲート,金曜 12:00 更新,2009年10月9日,,
2009-10-09,,配信,,バンダイチャンネル[注 8][注 9],金曜 12:00 更新,2009年10月9日,,
2013-04-12,2013-09-27,放送,AT-X,,金曜 23:30 - 土曜 0:00,2013年4月12日 - 9月27日,日本全域,製作参加 / CS放送 / リピート放送あり
2013-04-13,2013-09-28,放送,TOKYO MX,,土曜 0:30 - 1:00（金曜深夜）,2013年4月13日 - 9月28日,東京都,
2013-04-14,2013-09-29,放送,毎日放送,,日曜 2:58 - 3:28（土曜深夜）,2013年4月14日 - 9月29日,近畿広域圏,『アニメシャワー』第3部
2013-04-18,2013-10-03,放送,中部日本放送,,木曜 2:38 - 3:08（水曜深夜）,2013年4月18日 - 10月3日,中京広域圏,
2013-04-20,2013-10-05,放送,BS11,,土曜 0:30 - 1:00（金曜深夜）,2013年4月20日 - 10月5日,日本全域,BS放送 / 『ANIME+』枠
2013-04-24,2013-10-09,放送,とちぎテレビ,,水曜 23:30 - 木曜 0:00,2013年4月24日 - 10月9日,栃木県,
2013-04-19,,配信,,ニコニコ生放送,金曜 22:30 - 23:00,2013年4月19日,,
2013-04-19,,配信,,ニコニコチャンネル,金曜 23:00 更新,2013年4月19日,,
2013-04-19,,配信,,ShowTime,未定,2013年4月19日,,
2013-04-19,,配信,,dアニメストア,未定,2013年4月19日,,
2013-05-03,,配信,,バンダイチャンネル,金曜 12:00 更新,2013年5月3日,,
2020-01-10,2020-09-25,放送,AT-X,,金曜 22:00 - 22:30,2020年1月10日 - 9月25日,日本全域,製作参加 / CS放送 / リピート放送あり
2020-01-11,2020-09-26,放送,TOKYO MX,,土曜 1:05 - 1:35（金曜深夜）,2020年1月11日 - 9月26日,東京都,
2020-01-11,2020-09-26,放送,BS11,,土曜 1:30 - 2:00（金曜深夜）,2020年1月11日 - 9月26日,日本全域,BS放送 / 『ANIME+』枠
2020-01-11,2020-09-26,放送,毎日放送,,土曜 2:55 - 3:25（金曜深夜）,2020年1月11日 - 9月26日,近畿広域圏,
2020-01-10,2020-09-25,配信,,AbemaTV,金曜 22:00 - 22:30,2020年1月10日 - 9月25日,,
2020-01-10,2020-09-25,配信,,dアニメストア,金曜 22:00 - 22:30,2020年1月10日 - 9月25日,,日にち適当
2020-01-10,2020-09-25,配信,,U-NEXT,金曜 22:00 - 22:30,2020年1月10日 - 9月25日,,日にち適当
2020-01-10,2020-09-25,配信,,アニメ放題,金曜 22:00 - 22:30,2020年1月10日 - 9月25日,,日にち適当
2020-01-10,2020-09-25,配信,,Netflix,金曜 22:00 - 22:30,2020年1月10日 - 9月25日,,日にち適当
2020-01-10,2020-09-25,配信,,FOD,金曜 22:00 - 22:30,2020年1月10日 - 9月25日,,日にち適当
2020-01-10,2020-09-25,配信,,Hulu,金曜 22:00 - 22:30,2020年1月10日 - 9月25日,,日にち適当

