開始,終了,タイプ,放送局,配信サイト,時間
2020-01-10,2020-03-27,放送,TOKYO MX,,金曜 0:30 - 1:00（木曜深夜）
2020-01-14,2020-03-31,放送,BS日テレ,,火曜 0:00 - 0:30（月曜深夜）
2020-01-10,,配信,,AbemaTV,金曜 0:00 - 0:30
2020-01-12,,配信,,dアニメストア,日曜 12:00 更新
2020-01-13,,配信,,Netflix,月曜 12:00 更新
2020-01-13,,配信,,Amazonプライム・ビデオ,月曜 12:00 更新
2020-01-13,,配信,,Hulu,月曜 12:00 更新
2020-01-13,,配信,,U-NEXT,月曜 12:00 更新
2020-01-13,,配信,,ビデオパス,月曜 12:00 更新
2020-01-13,,配信,,dTV,月曜 12:00 更新
2020-01-13,,配信,,バンダイチャンネル,月曜 12:00 更新
2020-01-13,,配信,,ひかりTV,月曜 12:00 更新
2020-01-13,,配信,,アニメ放題,月曜 12:00 更新
2020-01-13,,配信,,J:COMオンデマンド,月曜 12:00 更新
2020-01-13,,配信,,auスマートパス,月曜 12:00 更新
2020-01-13,,配信,,ニコニコ動画,月曜 12:00 更新
2020-01-13,,配信,,あにてれ,月曜 12:00 更新
2020-01-13,,配信,,GYAO!,月曜 12:00 更新
2020-01-13,,配信,,ビデオマーケット,月曜 12:00 更新
2020-01-13,,配信,,HAPPY動画,月曜 12:00 更新
