開始,終了,タイプ,放送局,配信サイト,時間
2020-01-11,2020-03-28,放送,毎日放送,,土曜 2:25 - 2:55（金曜深夜）
2020-01-11,2020-03-28,放送,TBSテレビ,,土曜 2:25 - 2:55（金曜深夜）
2020-01-12,2020-03-29,放送,BS-TBS,,日曜 1:30 - 2:00（土曜深夜）
2020-01-13,2020-03-30,放送,AT-X,,月曜 22:30 - 23:00
2020-01-25,2020-04-11,放送,山陰放送,,土曜 1:55 - 2:25（金曜深夜）
2020-01-29,2020-04-15,放送,静岡放送,,水曜 2:25 - 2:55（火曜深夜）
2020-01-11,,配信,,dアニメストア,土曜 2:55（金曜深夜） 更新
2020-01-11,,配信,,U-NEXT,土曜 2:55（金曜深夜） 更新
2020-01-14,,配信,,Amazon Prime Video,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,Netflix,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,dTV,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,FOD,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,ひかりTV,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,TVer,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,MBS動画イズム,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,ニコニコチャンネル,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,ビデオマーケット,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,music.jp,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,クランクイン!ビデオ,火曜 2:55（月曜深夜） 更新
2020-01-14,,配信,,GYAO!,火曜 3:00（月曜深夜） 更新
2020-01-14,,配信,,アニメ放題,火曜 12:00 更新
2020-01-14,,配信,,DMM.com,火曜 12:00 更新
2020-01-14,,配信,,Hulu,火曜 12:00 更新
2020-01-14,,配信,,ビデオパス,火曜 12:00 更新
2020-01-14,,配信,,J:COMオンデマンド,火曜 12:00 更新
2020-01-14,,配信,,バンダイチャンネル,火曜 12:00 更新
2020-01-14,,配信,,ニコニコ生放送,火曜 22:30 - 23:00
