開始,終了,タイプ,放送局,配信サイト,時間
2021-01-09,2021-03-27,放送,毎日放送,,土曜 2:25 - 2:55（金曜深夜）
2021-01-09,2021-03-27,放送,TBSテレビ,,土曜 2:25 - 2:55（金曜深夜）
2021-01-09,2021-03-27,放送,BS-TBS,,土曜 3:00 - 3:30（金曜深夜）
2021-01-10,2021-03-28,放送,AT-X,,日曜 22:30 - 23:00
2021-01-09,,配信,,ABEMA,土曜 3:00 - 3:30（金曜深夜）
2021-01-13,,配信,,dアニメストア,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,Amazonプライム・ビデオ,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,dTV,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,ニコニコチャンネル,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,バンダイチャンネル,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,FOD,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,ひかりTV,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,TVer,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,MBS動画イズム,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,ビデオマーケット,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,GYAO!,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,GYAO!ストア,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,music.jp,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,クランクイン！ビデオ,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,ムービーフルplus,水曜 3:00（火曜深夜） 更新
2021-01-13,,配信,,DMM.com,水曜 10:00 更新
2021-01-13,,配信,,HAPPY!動画,水曜 12:00 更新
2021-01-13,,配信,,TSUTAYA TV,水曜 19:00 更新
2021-01-13,,配信,,ニコニコ生放送,水曜 23:00 - 23:30
2021-01-15,,配信,,TELASA,金曜 0:00（木曜深夜） 更新
2021-01-15,,配信,,J:COMオンデマンド,金曜 0:00（木曜深夜） 更新
2021-01-15,,配信,,auスマートパスプレミアム,金曜 0:00（木曜深夜） 更新
2021-01-15,,配信,,milplus,金曜 0:00（木曜深夜） 更新
