開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2017-01-11,2017-03-29,放送,TOKYO MX,,水曜 22:40 - 22:45,2017年1月11日 - 3月29日,東京都,
2017-01-12,2017-03-30,放送,サンテレビ,,木曜 0:10 - 0:15（水曜深夜）,2017年1月12日 - 3月30日,兵庫県,
2017-01-12,,配信,,ニコニコ動画 / GYAO![11],木曜 12:00 更新,2017年1月12日,,
2017-01-14,,配信,,AbemaTV 新作TVアニメch,土曜 1:00 - 1:05（金曜深夜）,2017年1月14日,,
2017-01-19,,配信,,バンダイチャンネル[12],木曜 12:00 更新,2017年1月19日,,
2017-04-12,2017-06-28,放送,TOKYO MX,,水曜 22:40 - 22:45,2017年4月12日 - 6月28日,東京都,
2017-04-13,2017-06-29,放送,サンテレビ,,木曜 0:10 - 0:15（水曜深夜）,2017年4月13日 - 6月29日,兵庫県,
2017-04-14,2017-06-30,放送,AT-X,,金曜 0:25 - 0:30（木曜深夜）,2017年4月14日 - 6月30日,日本全域,CS放送 / リピート放送あり
2017-04-13,,配信,,ニコニコチャンネル,木曜 12:00 更新,2017年4月13日,,
2017-04-13,,配信,,バンダイチャンネル,木曜 12:00 更新,2017年4月13日,,
2017-04-13,,配信,,GYAO!ストア[14],木曜 12:00 更新,2017年4月13日,,
2017-04-15,,配信,,AbemaTV新作アニメch[15],土曜 1:25 - 1:30,2017年4月15日,,
2018-07-03,2018-09-25,放送,TOKYO MX,,火曜 1:35 - 1:40（月曜深夜）,2018年7月3日 -  9月25日,東京都,
2018-07-06,2018-09-28,放送,AT-X,,金曜 22:55 - 23:00,2018年7月6日 - 9月28日,日本全域,CS放送 / リピート放送あり
2018-07-09,2018-10-01,放送,J:COMテレビ,,月曜 22:50 - 22:55,2018年7月9日 - 10月1日,日本全域,CATV / #0は未放送
2020-10-06,,放送,TOKYO MX,,火曜 1:05 - 1:10（月曜深夜）,2020年10月6日 -,東京都,
2020-10-07,,放送,BS日テレ,,水曜 0:28 - 0:34（火曜深夜）,2020年10月7日 -,日本全域,BS放送 / 『アニメにむちゅ〜』枠
