開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2020-04-05,2021-03-28,放送,テレビ大阪,,日曜 9:30 - 10:00,2020年4月5日 - 2021年3月28日,製作局
2020-04-05,2021-03-28,放送,テレビ北海道,,日曜 9:30 - 10:00,2020年4月5日 - 2021年3月28日,
2020-04-05,2021-03-28,放送,テレビ東京,,日曜 9:30 - 10:00,2020年4月5日 - 2021年3月28日,
2020-04-05,2021-03-28,放送,テレビ愛知,,日曜 9:30 - 10:00,2020年4月5日 - 2021年3月28日,
2020-04-05,2021-03-28,放送,テレビせとうち,,日曜 9:30 - 10:00,2020年4月5日 - 2021年3月28日,
2020-04-05,2021-03-28,放送,テレQ,,日曜 9:30 - 10:00,2020年4月5日 - 2021年3月28日,
2020-05-09,2021-05-01,放送,キッズステーション,,土曜 16:00 - 16:30,2020年5月9日 - 2021年5月1日,製作参加 / CS放送 / リピート放送あり[25]
2020-04-05,,配信,,Amazonプライム・ビデオ,日曜 10:00 更新,2020年4月5日,見放題
2020-04-05,,配信,,dアニメストア,日曜 10:00 更新,2020年4月5日,見放題
2020-04-05,,配信,,FOD,日曜 10:00 更新,2020年4月5日,見放題
2020-04-05,,配信,,あにてれ,日曜 10:00 更新,2020年4月5日,見放題
2020-04-05,,配信,,ひかりTV,日曜 10:00 更新,2020年4月5日,見放題
2020-04-05,,配信,,ビデオパス,日曜 10:00 更新,2020年4月5日,見放題
2020-04-05,,配信,,YouTube,日曜 10:00 更新,2020年4月5日,2週間無料
2020-04-05,,配信,,TVer,日曜 10:00 更新,2020年4月5日,2週間無料
2020-04-05,,配信,,GYAO!,日曜 10:00 更新,2020年4月5日,1週間無料
2020-04-05,,配信,,DMM.com,日曜 10:00 更新,2020年4月5日,
2020-04-05,,配信,,Google Play,日曜 10:00 更新,2020年4月5日,
2020-04-05,,配信,,Rakuten TV,日曜 10:00 更新,2020年4月5日,
2020-04-05,,配信,,VIDEX,日曜 10:00 更新,2020年4月5日,
2020-04-05,,配信,,ビデオマーケット,日曜 10:00 更新,2020年4月5日,
2020-04-05,,配信,,TSUTAYA TV,日曜 19:00 更新,2020年4月5日,
2020-04-06,,配信,,J:COMオンデマンド,月曜 0:00 更新,2020年4月6日,見放題配信は翌日から
2020-04-07,,配信,,milplus,火曜 0:00 更新,2020年4月7日,
2020-04-07,,配信,,ビデオパス,火曜 0:00 更新,2020年4月7日,
2020-04-09,,配信,,HAPPY!動画,木曜 12:00 更新,2020年4月9日,
2020-04-12,,配信,,U-NEXT,日曜 12:00 更新,2020年4月12日,
2020-04-12,,配信,,アニメ放題,日曜 12:00 更新,2020年4月12日,
2020-04-16,,配信,,ゲオTV,木曜 12:00 更新,2020年4月16日,
