開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2014-04-06,2014-09-21,放送,毎日放送（製作局）をはじめとするTBS系列全28局,,日曜 17:00 - 17:30,2014年4月6日 - 9月21日,日本国内[注 7],字幕放送 / 連動データ放送
2014-05-26,2014-11-10,放送,アニマックス,,月曜 19:00 - 19:30,2014年5月26日 - 11月10日,日本全域,BS/CS放送 / リピート放送あり[107]
2014-04-20,,配信,,バンダイチャンネル,日曜 12:00 更新,2014年4月20日,,
2014-04-22,,配信,,GyaO!,火曜 0:00（月曜深夜） 更新,2014年4月22日,,
2015-10-04,2016-03-27,放送,毎日放送,,日曜 2:58 - 3:28（土曜深夜）,2015年10月4日 - 2016年3月27日,近畿広域圏,製作参加 / 字幕放送 / 『アニメシャワー』第3部
2015-10-04,2016-03-27,放送,CBCテレビ,,日曜 3:23 - 3:53（土曜深夜）,2015年10月4日 - 2016年3月27日,中京広域圏,
2015-10-05,2016-03-28,放送,TOKYO MX,,月曜 0:00 - 0:30（日曜深夜）,2015年10月5日 - 2016年3月28日,東京都,
2015-10-05,2016-03-28,放送,BS11,,月曜 0:30 - 1:00（日曜深夜）,2015年10月5日 - 2016年3月28日,日本全域,BS放送 / 『ANIME+』枠 / リピート放送あり
2015-10-05,2016-03-28,放送,RKB毎日放送,,月曜 2:30 - 3:00（日曜深夜）,2015年10月5日 - 2016年3月28日,福岡県,第6話より字幕放送
2015-10-06,2016-03-29,放送,北海道放送,,火曜 2:10 - 2:40（月曜深夜）,2015年10月6日 - 2016年3月29日,北海道,
2015-10-07,2016-03-30,放送,東北放送,,水曜 1:48 - 2:18（火曜深夜）,2015年10月7日 - 2016年3月30日,宮城県,
2015-10-10,2016-04-02,放送,テレビユー福島,,土曜 17:00 - 17:30,2015年10月10日 - 2016年4月2日,福島県,最終土曜のみ13分繰り上げ
2015-12-11,2016-06-03,放送,IBC岩手放送,,金曜 0:41 - 1:11（木曜深夜）,2015年12月11日 - 2016年6月3日,岩手県,
2016-01-13,2016-06-29,放送,静岡放送,,水曜 2:11 - 2:41（火曜深夜）,2016年1月13日 - 6月29日,静岡県,
2016-01-14,,放送,あいテレビ,,木曜 1:48 - 2:18（水曜深夜）金曜 1:49 - 2:19（木曜深夜）,2016年1月14日 - 3月31日2016年4月8日 - 7月8日,愛媛県,
2016-02-12,2016-08-05,放送,アニマックス,,金曜 19:00 - 19:30,2016年2月12日 - 8月5日,日本全域,BS/CS放送 / 字幕放送 / リピート放送あり
2015-10-07,,配信,,ニコニコチャンネル,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,アクトビラ,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,アニメ放題,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,Amazon Prime Video,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,GYAO!ストア,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,GYAO!,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,TSUTAYA TV,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,dアニメストア,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,DMM.com,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,HAPPY!動画,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,ひかりTV,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,ムービーフル,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,U-NEXT,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,楽天ショウタイム,水曜 更新,2015年10月7日,,
2015-10-07,,配信,,ビデオマーケット,水曜 更新,2015年10月7日,,
2015-10-08,,配信,,J:COMオンデマンド,木曜 更新,2015年10月8日,,
2015-10-08,,配信,,ビデオパス,木曜 更新,2015年10月8日,,
2015-10-08,,配信,,milplus,木曜 更新,2015年10月8日,,
2015-10-14,,配信,,dTV,水曜 更新,2015年10月14日,,
2015-10-14,,配信,,バンダイチャンネル,水曜 更新,2015年10月14日,,
2015-10-14,,配信,,PlayStation Video,水曜 更新,2015年10月14日,,
2016-10-08,2016-12-10,放送,TBSテレビ,,土曜 1:55 - 2:25（金曜深夜）,2016年10月8日 - 12月10日,関東広域圏,字幕放送
2016-10-08,2016-12-10,放送,毎日放送,,土曜 2:10 - 2:40（金曜深夜）,2016年10月8日 - 12月10日,近畿広域圏,製作参加 / 字幕放送
2016-10-08,2016-12-10,放送,CBCテレビ,,土曜 2:50 - 3:20（金曜深夜）,2016年10月8日 - 12月10日,中京広域圏,
2016-10-09,2016-12-11,放送,BS-TBS,,日曜 0:00 - 0:30（土曜深夜）,2016年10月9日 - 12月11日,日本全域,BS放送
2016-10-09,2016-12-11,放送,北海道放送,,日曜 2:28 - 2:58（土曜深夜）,2016年10月9日 - 12月11日,北海道,
