開始,終了,タイプ,放送局,配信サイト,時間
2021-10-05,2021-12-28,放送,テレビ東京,,火曜 1:30 - 2:00（月曜深夜）
2021-10-06,2021-12-29,放送,毎日放送,,水曜 3:30 - 4:00（火曜深夜）
2021-10-08,2021-12-31,放送,BS11,,金曜 19:00 - 19:30
2021-10-06,,配信,,YouTube（BANDAI SPIRITS公式チャンネル）,水曜 20:00 更新
2021-10-06,,配信,,ニコニコチャンネル[43],水曜 20:00 更新
2021-10-06,,配信,,U-NEXT,水曜 20:00 更新
2021-10-06,,配信,,TVer,水曜 20:00 更新
2021-10-07,,配信,,ニコニコ生放送[43],木曜 1:00 - 1:30（水曜深夜）
2021-11-03,,配信,,dアニメストア[44],水曜 20:00 更新
,,配信,,Rakuten TV,不明
,,配信,,ビデオマーケット,不明
,,配信,,music.jp,不明
,,配信,,DMM.com,不明
,,配信,,GYAO!ストア,不明
,,配信,,ムービーフルplus,不明
,,配信,,HAPPY!動画,不明
,,配信,,Amazon Prime Video,不明
,,配信,,TSUTAYA TV,不明
,,配信,,FOD,不明
,,配信,,アニメ放題,不明
,,配信,,ふらっと動画,不明
,,配信,,ネットもテレ東,不明
,,配信,,ひかりTV,不明
,,配信,,アニメカ,不明
,,配信,,バンダイチャンネル,不明
,,配信,,TELASA,不明
,,配信,,auスマートパスプレミアム,不明
,,配信,,J:COMオンデマンド メガパック,不明
,,配信,,milplus,不明
2022-04-12,2022-06-28,放送,テレビ東京,,火曜 0:00 - 0:30（月曜深夜）
2022-04-15,2022-07-01,放送,毎日放送,,金曜 2:30 - 3:00（木曜深夜）
2022-04-15,2022-07-01,放送,BS11,,金曜 19:00 - 19:30
2022-04-13,,配信,,YouTube（BANDAI SPIRITS公式チャンネル）,水曜 20:00 更新
2022-04-13,,配信,,,水曜 20:00 更新
2022-04-13,,配信,,U-NEXT,水曜 20:00 更新
2022-04-13,,配信,,TVer,水曜 20:00 更新
2022-04-13,,配信,,Rakuten TV,不明
2022-04-13,,配信,,ビデオマーケット,不明
2022-04-13,,配信,,music.jp,不明
2022-04-13,,配信,,DMM.com,不明
2022-04-13,,配信,,GYAO!ストア,不明
2022-04-13,,配信,,ムービーフルplus,不明
2022-04-13,,配信,,HAPPY!動画,不明
2022-04-13,,配信,,Amazon Prime Video,不明
2022-04-13,,配信,,TSUTAYA TV,不明
2022-04-13,,配信,,ニコニコ動画,不明
2022-04-13,,配信,,FOD,不明
2022-04-13,,配信,,dアニメストア,不明
2022-04-13,,配信,,アニメ放題,不明
2022-04-13,,配信,,ふらっと動画,不明
2022-04-13,,配信,,ネットもテレ東,不明
2022-04-13,,配信,,ひかりTV,不明
2022-04-13,,配信,,アニメカ,不明
2022-04-13,,配信,,バンダイチャンネル,不明
2022-04-13,,配信,,TELASA,不明
2022-04-13,,配信,,auスマートパスプレミアム,不明
2022-04-13,,配信,,J:COMオンデマンド メガパック,不明
2022-04-13,,配信,,milplus,不明
