開始,終了,タイプ,放送局,配信サイト,時間,期間
2022-10-01,2022-12-24,放送,TOKYO MX,,土曜 23:30 - 日曜 0:00,2022年10月1日 - 12月24日
2022-10-01,2022-12-24,放送,とちぎテレビ,,土曜 23:30 - 日曜 0:00,2022年10月1日 - 12月24日
2022-10-01,2022-12-24,放送,群馬テレビ,,土曜 23:30 - 日曜 0:00,2022年10月1日 - 12月24日
2022-10-01,2022-12-24,放送,BS11,,土曜 23:30 - 日曜 0:00,2022年10月1日 - 12月24日
2022-10-02,2022-12-25,放送,AT-X,,日曜 21:30 - 22:00,2022年10月2日 - 12月25日
2022-10-03,2022-12-26,放送,関西テレビ,,月曜 2:29 - 2:59（日曜深夜）,2022年10月3日 - 12月26日
2022-10-02,,配信,,Amazon Prime Video,日曜 0:00（土曜深夜） 更新,2022年10月2日
2022-10-04,,配信,,Netflix,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,U-NEXT,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,アニメ放題,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,ABEMAプレミアム,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,バンダイチャンネル,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,Hulu,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,FOD,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,GYAO!,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,ニコニコチャンネル,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,ひかりTV,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,ビデオマーケット,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,music.jp,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,GYAO!ストア,火曜 12:00 更新,2022年10月4日
2022-10-04,,配信,,ニコニコ生放送,火曜 22:00 - 22:30,2022年10月4日
2022-10-05,,配信,,TELASA,水曜 0:00（火曜深夜） 更新,2022年10月5日
2022-10-05,,配信,,J:COMオンデマンド,水曜 0:00（火曜深夜） 更新,2022年10月5日
2022-10-05,,配信,,auスマートパスプレミアム,水曜 0:00（火曜深夜） 更新,2022年10月5日
2022-10-05,,配信,,milplus,水曜 0:00（火曜深夜） 更新,2022年10月5日
