開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-04-02,2020-06-18,放送,BS日テレ,,木曜 23:30 - 金曜 0:00,2020年4月2日 - 6月18日
2020-04-02,2020-06-18,放送,AT-X,,木曜 23:30 - 金曜 0:00,2020年4月2日 - 6月18日
2020-04-03,2020-06-19,放送,TOKYO MX,,金曜 0:00 - 0:30（木曜深夜）,2020年4月3日 - 6月19日
2020-04-03,2020-06-19,放送,サンテレビ,,金曜 0:30 - 1:00（木曜深夜）,2020年4月3日 - 6月19日
2020-04-03,,配信,,dアニメストア,金曜 0:00 更新,2020年4月3日
2020-04-03,,配信,,dTV,金曜 0:00 更新,2020年4月3日
2020-04-03,,配信,,クランクイン！ビデオ,金曜 0:00 更新,2020年4月3日
2020-04-08,,配信,,ビデオマーケット,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,Amazonプライム・ビデオ,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,ひかりTV,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,ミレール,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,TELASA,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,MOVIEFULL,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,Happy!動画,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,DMM.com,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,niconico,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,バンダイチャンネル,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,J:COMオンデマンド,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,Hulu,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,TSUTAYA TV,水曜 0:00 更新,2020年4月8日
2020-04-08,,配信,,Rakuten TV,水曜 0:00 更新,2020年4月8日
2020-04-11,,配信,,スゴ得,土曜 12:00 更新,2020年4月11日
