開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2018-10-02,2019-03-26,放送,TOKYO MX,,火曜 0:00 - 0:30（月曜深夜）,2018年10月2日 - 2019年3月26日,東京都,
2018-10-02,2019-03-26,放送,BS11,,火曜 0:00 - 0:30（月曜深夜）,2018年10月2日 - 2019年3月26日,日本全域,製作参加 / BS放送 / 『ANIME+』枠
2018-10-02,2019-03-26,放送,テレビ神奈川,,火曜 1:00 - 1:30（月曜深夜）,2018年10月2日 - 2019年3月26日,神奈川県,
2018-10-03,2019-03-27,放送,毎日放送,,水曜 3:30 - 4:00（火曜深夜）,2018年10月3日 - 2019年3月27日,近畿広域圏,『アニメ特区』第3部
2018-10-03,,配信,,dアニメストア,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,Amazon Prime Video,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,GYAO!ストア,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,Google Play,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,J:COMオンデマンド,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,TSUTAYA TV,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,DMM.com,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,ニコニコ動画,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,HAPPY!動画,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,ひかりTV,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,ビデオパス,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,ビデオマーケット,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,PlayStation Video,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,milplus,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,music.jp,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,ムービーフルPlus,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,Rakuten TV,水曜 12:00 更新,2018年10月3日,,
2018-10-03,,配信,,ニコニコ生放送,水曜 23:00 - 23:30,2018年10月3日,,
2018-10-10,,配信,,アニメ放題,水曜 12:00 更新,2018年10月10日,,
2018-10-10,,配信,,AbemaTV,水曜 12:00 更新,2018年10月10日,,
2018-10-10,,配信,,Netflix,水曜 12:00 更新,2018年10月10日,,
2018-10-10,,配信,,dTV,水曜 12:00 更新,2018年10月10日,,
2018-10-10,,配信,,Hulu,水曜 12:00 更新,2018年10月10日,,
2018-10-10,,配信,,U-NEXT,水曜 12:00 更新,2018年10月10日,,
2018-10-10,,配信,,バンダイチャンネル,水曜 12:00 更新,2018年10月10日,,
2021-01-12,2021-09-21,放送,TOKYO MX,,火曜 23:00 - 23:30,2021年1月12日 - 9月21日,東京都,
2021-01-12,2021-09-21,放送,BS11,,火曜 23:30 - 水曜 0:00,2021年1月12日 - 9月21日,日本全域,BS放送 / 『ANIME+』枠
2021-01-13,2021-09-22,放送,毎日放送,,水曜 3:30 - 4:00（火曜深夜）,2021年1月13日 - 9月22日,近畿広域圏,『アニメ特区』第3部
2021-01-13,2021-09-22,放送,テレビ愛知,,水曜 2:05 - 2:35（火曜深夜）,2021年1月13日 - 9月22日,愛知県,
2021-01-13,2021-09-22,放送,テレビ北海道,,水曜 1:35 - 2:05（火曜深夜）,2021年1月13日 - 9月22日,北海道,
