開始,終了,タイプ,放送局,配信サイト,時間
2020-04-02,2020-06-25,放送,TOKYO MX,,木曜 0:30 - 1:00（水曜深夜）
2020-04-02,2020-06-25,放送,とちぎテレビ,,木曜 0:30 - 1:00（水曜深夜）
2020-04-02,2020-06-25,放送,群馬テレビ,,木曜 0:30 - 1:00（水曜深夜）
2020-04-02,2020-06-25,放送,BS11,,木曜 0:30 - 1:00（水曜深夜）
2020-04-02,,配信,,dアニメストア,木曜 0:30 更新
2020-04-06,,配信,,Amazonプライム・ビデオ,月曜 0:00 更新
2020-04-06,,配信,,アニメ放題,月曜 0:00 更新
2020-04-06,,配信,,あにてれ,月曜 0:00 更新
2020-04-06,,配信,,フジテレビオンデマンド,月曜 0:00 更新
2020-04-06,,配信,,J:COMオンデマンド,月曜 0:00 更新
2020-04-06,,配信,,TSUTAYA TV,月曜 0:00 更新
2020-04-06,,配信,,バンダイチャンネル,月曜 0:00 更新
2020-04-06,,配信,,ひかりTV,月曜 0:00 更新
2020-04-06,,配信,,TELASA,月曜 0:00 更新
2020-04-06,,配信,,ふらっと動画,月曜 0:00 更新
2020-04-06,,配信,,milplus,月曜 0:00 更新
2020-04-06,,配信,,U-NEXT,月曜 0:00 更新
