開始,終了,タイプ,放送局,配信サイト,時間
2021-10-09,2021-12-25,放送,テレビ東京,,土曜 1:53 - 2:23（金曜深夜）
2021-10-09,2021-12-25,放送,テレビ大阪,,土曜 2:10 - 2:40（金曜深夜）
2021-10-09,2021-12-25,放送,AT-X,,土曜 21:00 - 21:30
2021-10-09,2021-12-25,放送,BS11,,土曜 22:00 - 22:30
2021-11-05,2022-01-28,放送,テレビ和歌山,,金曜 0:35 - 1:05（木曜深夜）
2021-10-09,,配信,,ABEMAビデオ（ABEMAプレミアム会員限定）[25],土曜 2:53（金曜深夜） 更新
2021-10-09,,配信,,ABEMA[26],土曜 2:53 - 3:23（金曜深夜）
2021-10-13,,配信,,アニメカ,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,Paravi,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,Amazon Prime Video,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,バンダイチャンネル,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,TELASA,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,dTV,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,dアニメストア,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,Hulu,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,ひかりTV,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,U-NEXT,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,アニメ放題,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,FOD,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,ニコニコチャンネル[27],水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,TSUTAYA TV,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,Rakuten TV,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,ビデオマーケット,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,GYAO!,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,GYAO!ストア,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,DMM.com,水曜 0:00（火曜深夜） 更新
2021-10-13,,配信,,ニコニコ生放送[27],水曜 0:00 - 0:30（火曜深夜）
