開始,終了,タイプ,放送局,配信サイト,時間
2022-01-07,2022-03-18,放送,AT-X,,金曜 21:30 - 22:00
2022-01-08,2022-03-19,放送,TOKYO MX,,土曜 1:30 - 2:00（金曜深夜）
2022-01-08,2022-03-19,放送,BSフジ,,土曜 4:00 - 4:30（金曜深夜）
2022-01-14,2022-03-25,放送,AT-X,,金曜 21:00 - 21:30
開始,終了,タイプ,放送局,配信サイト,時間
2022-01-08,,配信,,dアニメストア,土曜 1:30（金曜深夜） 更新
2022-01-08,,配信,,ABEMA,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,Amazon Prime Video,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,Hulu,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,バンダイチャンネル,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,U-NEXT,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,アニメ放題,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,TELASA,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,auスマートパスプレミアム,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,J:COMオンデマンドメガパック,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,milplus,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,FOD,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,ANIMEKA[注 27],土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,ひかりTV,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,ビデオマーケット,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,music.jp,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,DMM.com,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,GYAO!ストア,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,HAPPY!動画,土曜 1:30（金曜深夜） 更新
2022-01-15,,配信,,ニコニコチャンネル,土曜 1:30（金曜深夜） 更新
2022-01-21,,配信,,U-NEXT,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,Hulu,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,ひかりTV,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,バンダイチャンネル,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,TELASA,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,J:COMオンデマンド,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,milplus,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,ビデオマーケット,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,DMM.com,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,music.jp,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,HAPPY!動画,金曜 0:00（木曜深夜） 更新
2022-01-21,,配信,,Rakuten TV,金曜 0:00（木曜深夜） 更新
