開始,終了,タイプ,放送局,配信サイト,時間
2020-10-03,2020-12-19,放送,TOKYO MX,,土曜 1:05 - 1:35（金曜深夜）
2020-10-06,2020-12-22,放送,読売テレビ,,火曜 2:29 - 2:59（月曜深夜）
2020-10-06,2020-12-22,放送,BS日テレ,,火曜 23:30 - 水曜 0:00
2020-10-09,2020-12-25,放送,AT-X,,金曜 22:00 - 22:30
2020-10-03,,配信,,ABEMA,土曜 1:05 - 1:35（金曜深夜）
2020-10-07,,配信,,dアニメストア,水曜 12:00 更新
2020-10-07,,配信,,U-NEXT,水曜 12:00 更新
2020-10-07,,配信,,dTV,水曜 12:00 更新
2020-10-07,,配信,,FOD,水曜 12:00 更新
2020-10-07,,配信,,アニメ放題,水曜 12:00 更新
2020-10-07,,配信,,Amazon Prime Video,水曜 12:00 更新
2020-10-07,,配信,,ビデオマーケット,水曜 12:00 更新
2020-10-07,,配信,,DMM.com,水曜 12:00 更新
2020-10-07,,配信,,music.jp,水曜 12:00 更新
2020-10-07,,配信,,GYAO!ストア,水曜 12:00 更新
2020-10-07,,配信,,クランクイン！ビデオ,水曜 12:00 更新
2020-10-07,,配信,,バンダイチャンネル,水曜 12:00 更新
2020-10-07,,配信,,J:COMオンデマンド,水曜 12:00 更新
2020-10-07,,配信,,milplus,水曜 12:00 更新
2020-10-07,,配信,,イッツコムオンデマンド,水曜 12:00 更新
2020-10-07,,配信,,TELASA,水曜 12:00 更新
2020-10-07,,配信,,Google Play,水曜 12:00 更新
2020-10-07,,配信,,Rakuten TV,水曜 12:00 更新
2023-04-08,,放送,TOKYO MX,,土曜 1:05 - 1:35（金曜深夜）
2023-04-08,,放送,BS11,,土曜 1:30 - 2:00（金曜深夜）
2023-04-09,,放送,AT-X,,日曜 21:00 - 21:30
2023-04-08,,配信,,dアニメストア,土曜 12:00 更新
2023-04-08,,配信,,U-NEXT,土曜 12:00 更新
2023-04-08,,配信,,アニメ放題,土曜 12:00 更新
2023-04-11,,配信,,ABEMAプレミアム,火曜 12:00 更新
2023-04-11,,配信,,hulu,火曜 12:00 更新
2023-04-11,,配信,,FOD,火曜 12:00 更新
2023-04-11,,配信,,メガパック,火曜 12:00 更新
2023-04-11,,配信,,みるプラス,火曜 12:00 更新
2023-04-11,,配信,,DMM TV,火曜 12:00 更新
2023-04-11,,配信,,Amazon Prime Video,火曜 12:00 更新
2023-04-11,,配信,,ビデオマーケット,火曜 12:00 更新
2023-04-11,,配信,,music.jp,火曜 12:00 更新
2023-04-11,,配信,,Google Play,火曜 12:00 更新
2023-04-11,,配信,,クランクイン！ビデオ,火曜 12:00 更新
2023-04-11,,配信,,バンダイチャンネル,火曜 12:00 更新
2023-04-11,,配信,,J:COMオンデマンド,火曜 12:00 更新
2023-04-11,,配信,,イッツコムオンデマンド,火曜 12:00 更新
2023-04-11,,配信,,TELASA,火曜 12:00 更新
