開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-01-04,2020-03-21,放送,TOKYO MX,,土曜 0:00 - 0:30（金曜深夜）,2020年1月4日 - 3月21日
2020-01-04,2020-03-21,放送,群馬テレビ,,土曜 0:00 - 0:30（金曜深夜）,2020年1月4日 - 3月21日
2020-01-04,2020-03-21,放送,とちぎテレビ,,土曜 0:00 - 0:30（金曜深夜）,2020年1月4日 - 3月21日
2020-01-04,2020-03-21,放送,BS11,,土曜 0:00 - 0:30（金曜深夜）,2020年1月4日 - 3月21日
2020-01-04,2020-03-21,放送,AT-X,,土曜 0:00 - 0:30（金曜深夜）,2020年1月4日 - 3月21日
2020-01-07,2020-03-24,放送,読売テレビ,,火曜 1:59 - 2:29（月曜深夜）,2020年1月7日 - 3月24日
2020-01-08,2020-03-25,放送,テレビ愛知,,水曜 2:05 - 2:35（火曜深夜）,2020年1月8日 - 3月25日
2020-01-29,2020-04-15,放送,長崎文化放送,,水曜 1:55 - 2:21（火曜深夜）,2020年1月29日 - 4月15日
2020-01-04,,配信,,AbemaTV,土曜 0:00 - 0:30（金曜深夜）,2020年1月4日
2020-01-08,,配信,,dアニメストア,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,Netflix,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,U-NEXT,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,アニメ放題,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,Amazonプライム・ビデオ,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,バンダイチャンネル,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,Hulu,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,ビデオパス,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,J:COMオンデマンド,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,FOD,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,dTV,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,ひかりTV,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,ビデオマーケット,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,DMM.com,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-08,,配信,,music.jp,水曜 0:00（火曜深夜） 更新,2020年1月8日
2020-01-09,,配信,,ニコニコ生放送,木曜 0:00 - 0:30（水曜深夜）,2020年1月9日
2020-01-09,,配信,,GYAO!,木曜 0:00（水曜深夜） 更新,2020年1月9日
2020-01-09,,配信,,ニコニコチャンネル,木曜 0:00（水曜深夜） 更新,2020年1月9日
