開始,終了,タイプ,放送局,配信サイト,時間,期間
2021-10-09,2021-12-25,放送,TOKYO MX,,土曜 0:00 - 0:30（金曜深夜）,2021年10月9日 - 12月25日
2021-10-09,2021-12-25,放送,とちぎテレビ,,土曜 0:00 - 0:30（金曜深夜）,2021年10月9日 - 12月25日
2021-10-09,2021-12-25,放送,群馬テレビ,,土曜 0:00 - 0:30（金曜深夜）,2021年10月9日 - 12月25日
2021-10-09,2021-12-25,放送,BS11,,土曜 0:00 - 0:30（金曜深夜）,2021年10月9日 - 12月25日
2021-10-10,2021-12-26,放送,メ〜テレ,,日曜 2:30 - 3:00（土曜深夜）,2021年10月10日 - 12月26日
2021-10-10,2021-12-26,放送,朝日放送テレビ,,日曜 2:30 - 3:00（土曜深夜）,2021年10月10日 - 12月26日
2021-10-14,2021-12-30,放送,WOWOWプライム,,木曜 0:30 - 1:00（水曜深夜）,2021年10月14日 - 12月30日
2021-11-06,,放送,アニマックス,,土曜 20:30 - 21:00,2021年11月6日 -
2021-10-09,,配信,,ABEMA,土曜 0:00 - 0:30（日曜深夜）,2021年10月9日
2021-10-12,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,FOD,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,U-NEXT,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,アニメ放題,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,バンダイチャンネル,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,Hulu,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,TSUTAYA TV,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,ビデオマーケット,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,DMM.com,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,music.jp,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,ひかりTV,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,ニコニコチャンネル,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,GYAO!,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,Amazon Prime Video,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,TELASA,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,J:COMオンデマンド メガパック,火曜 12:00 更新,2021年10月12日
2021-10-12,,配信,,ニコニコ生放送,火曜 23:00 - 23:30,2021年10月12日
