開始,終了,タイプ,放送局,配信サイト,時間
2020-10-03,2021-03-27,放送,テレビ東京,,土曜 1:23 - 1:53（金曜深夜）
2020-10-03,2021-03-27,放送,テレビ愛知,,土曜 2:05 - 2:35（金曜深夜）
2020-10-03,2021-03-27,放送,テレビ大阪,,土曜 2:10 - 2:40（金曜深夜）
2020-10-08,,放送,AT-X,,木曜 23:00 - 23:30火曜 23:00 - 水曜 0:00火曜 23:00 - 23:30
2020-10-03,,配信,,dアニメストア,土曜 12:00 更新
2020-10-03,,配信,,ビデオマーケット,土曜 12:00 更新
2020-10-03,,配信,,music.jp,土曜 12:00 更新
2020-10-03,,配信,,DMM.com,土曜 12:00 更新
2020-10-03,,配信,,GYAO!ストア,土曜 12:00 更新
2020-10-03,,配信,,ココロビデオ,土曜 12:00 更新
2020-10-03,,配信,,HAPPY!動画,土曜 12:00 更新
2020-10-03,,配信,,Rakuten TV,土曜 12:00 更新
2020-10-03,,配信,,Google Play,土曜 12:00 更新
2020-10-03,,配信,,バンダイチャンネル,土曜 12:00 更新
2020-10-03,,配信,,ムービーフル / ムービーフルplus,土曜 12:00 更新
2020-10-03,,配信,,TSUTAYA TV,土曜 12:00 更新
2020-10-03,,配信,,J:COMオンデマンド,土曜 12:00 更新
2020-10-03,,配信,,TELASA,土曜 12:00 更新
2020-10-03,,配信,,ニコニコ動画,土曜 12:00 更新
2020-10-03,,配信,,Amazonプライム・ビデオ,土曜 12:00 更新
2020-10-03,,配信,,ひかりTV,土曜 12:00 更新
2020-10-06,,配信,,あにてれ,火曜 12:00 更新
2020-10-06,,配信,,ふらっと動画,火曜 12:00 更新
2020-10-06,,配信,,auスマートパスプレミアム,火曜 12:00 更新
2020-10-06,,配信,,Hulu,火曜 12:00 更新
2020-10-06,,配信,,U-NEXT,火曜 12:00 更新
2020-10-09,,配信,,dTV,金曜 12:00 更新
2020-10-13,,配信,,ABEMA,火曜 12:00 更新
