開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-01-09,2020-06-25,放送,TOKYO MX,,木曜 1:05 - 1:35（水曜深夜）,2020年1月9日 - 6月25日
2020-01-09,2020-06-25,放送,KBS京都,,木曜 1:05 - 1:35（水曜深夜）,2020年1月9日 - 6月25日
2020-01-09,2020-06-25,放送,サンテレビ,,木曜 1:30 - 2:00（水曜深夜）,2020年1月9日 - 6月25日
2020-01-09,2020-06-25,放送,テレビ愛知,,木曜 2:35 - 3:05（水曜深夜）,2020年1月9日 - 6月25日
2020-01-09,2020-06-25,放送,BS11,,木曜 23:00 - 23:30,2020年1月9日 - 6月25日
2020-01-10,2020-06-26,放送,AT-X,,金曜 23:00 - 23:30,2020年1月10日 - 6月26日
2020-01-08,,配信,,dアニメストア,水曜 23:00 更新,2020年1月8日
2020-01-15,,配信,,Amazonプライム・ビデオ,水曜 更新,2020年1月15日
2020-01-15,,配信,,Netflix,水曜 更新,2020年1月15日
2020-01-15,,配信,,Hulu,水曜 更新,2020年1月15日
2020-01-15,,配信,,バンダイチャンネル,水曜 更新,2020年1月15日
2020-01-15,,配信,,U-NEXT,水曜 更新,2020年1月15日
2020-01-15,,配信,,アニメ放題,水曜 更新,2020年1月15日
2020-01-15,,配信,,ビデオパス,水曜 更新,2020年1月15日
2020-01-15,,配信,,J:COMオンデマンド,水曜 更新,2020年1月15日
2020-01-15,,配信,,ひかりTV,水曜 更新,2020年1月15日
2020-01-15,,配信,,AbemaTV,水曜 更新,2020年1月15日
2020-01-15,,配信,,GYAO!,水曜 更新,2020年1月15日
2020-01-15,,配信,,niconico,水曜 更新,2020年1月15日
2020-01-15,,配信,,FOD,水曜 更新,2020年1月15日
2020-01-15,,配信,,Rakuten TV,水曜 更新,2020年1月15日
2020-01-15,,配信,,ビデオマーケット,水曜 更新,2020年1月15日
2020-01-15,,配信,,DMM動画,水曜 更新,2020年1月15日
2020-01-15,,配信,,HAPPY!動画,水曜 更新,2020年1月15日
2020-01-15,,配信,,MOVIEFULL,水曜 更新,2020年1月15日
