開始,終了,タイプ,放送局,配信サイト,時間,期間
2023-01-06,2023-03-24,放送,AT-X,,金曜 21:30 - 22:00,2023年1月6日 - 3月24日
2023-01-06,2023-03-24,放送,TOKYO MX,,金曜 22:30 - 23:00,2023年1月6日 - 3月24日
2023-01-06,2023-03-24,放送,BS朝日,,金曜 23:30 - 土曜 0:00,2023年1月6日 - 3月24日
2023-01-07,2023-03-25,放送,サンテレビ,,土曜 0:00 - 0:30（金曜深夜）,2023年1月7日 - 3月25日
2023-01-07,2023-03-25,放送,KBS京都,,土曜 23:30 - 日曜 0:00,2023年1月7日 - 3月25日
2023-01-06,,配信,,dアニメストア,金曜 22:00 更新,2023年1月6日
2023-01-06,,配信,,DMM TV,金曜 22:00 更新,2023年1月6日
2023-01-13,,配信,,ニコニコ生放送[43],金曜 22:00 - 22:30,2023年1月13日
2023-01-13,,配信,,ABEMA[44],金曜 22:00 - 22:30,2023年1月13日
2023-01-13,,配信,,ひかりTV,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,GYAO!,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,FOD,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,バンダイチャンネル,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,Hulu,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,TELASA,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,J:COMオンデマンドメガパック,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,milplus見放題パックプライム,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,アニメ放題,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,Amazon Prime Video,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,ABEMAビデオ,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,AnimeFesta,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,U-NEXT,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,Rakuten TV,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,music.jp,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,ビデオマーケット,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,HAPPY!動画,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-13,,配信,,クランクイン！ビデオ,金曜 22:00 以降順次更新,2023年1月13日以降順次
2023-01-14,,配信,,ニコニコチャンネル[43],土曜 0:30 - 1:00（金曜深夜）,2023年1月14日
2023-07-07,,放送,AT-X,,金曜 21:30 - 22:00,2023年7月7日 -
2023-07-07,,放送,TOKYO MX,,金曜 22:30 - 23:00,2023年7月7日 -
2023-07-07,,放送,BS朝日,,金曜 23:30 - 土曜 0:00,2023年7月7日 -
2023-07-08,,放送,サンテレビ,,土曜 0:00 - 0:30（金曜深夜）,2023年7月8日 -
2023-07-08,,放送,KBS京都,,土曜 23:30 - 日曜 0:00,2023年7月8日 -
2023-07-07,,配信,,dアニメストア,金曜 22:00 更新,2023年7月7日
2023-07-07,,配信,,DMM TV,金曜 22:00 更新,2023年7月7日
2023-07-14,,配信,,ニコニコ生放送,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,ニコニコチャンネル,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,FOD,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,バンダイチャンネル,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,Hulu,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,TELASA,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,J:COMオンデマンドメガパック,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,milplus見放題パックプライム,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,アニメ放題,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,Amazon Prime Video,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,ABEMA,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,AnimeFesta,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,U-NEXT,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,Rakuten TV,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,music.jp,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,ビデオマーケット,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,HAPPY!動画,金曜 22:00 以降順次更新,2023年7月14日以降順次
2023-07-14,,配信,,クランクイン！ビデオ,金曜 22:00 以降順次更新,2023年7月14日以降順次
