開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2021-07-14,2021-09-15,放送,AT-X,,水曜 23:30 - 0:00（水曜深夜）,2021年7月14日 - 9月15日,製作参加 / CS放送 / リピート放送ありR15+指定 / 無修正バージョン
2021-07-15,2021-09-16,放送,TOKYO MX,,木曜 1:05 - 1:35（水曜深夜）,2021年7月15日 - 9月16日,
2021-07-15,2021-09-16,放送,KBS京都,,木曜 1:05 - 1:35（水曜深夜）,2021年7月15日 - 9月16日,
2021-07-15,2021-09-16,放送,サンテレビ,,木曜 1:30 - 2:00（水曜深夜）,2021年7月15日 - 9月16日,
2021-07-16,2021-09-17,放送,BS11,,金曜 0:30 - 1:00（木曜深夜）,2021年7月16日 - 9月17日,BS放送 / 『ANIME+』枠
2021-07-15,,配信,,dアニメストア,木曜 0:00（水曜深夜） 更新,2021年7月15日,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,ABEMA,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,GYAO!,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,ひかりTV,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,FOD,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,J:COMオンデマンド,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,みるプラス,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,バンダイチャンネル,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,Hulu,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,アニメ放題,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,U-NEXT,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,6日遅れでシースルーバージョンも配信
2021-07-22,,配信,,niconico,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,Amazon Prime Video,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,Rakuten TV,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,DMM.com,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,music.jp,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,ビデオマーケット,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,GYAO!ストア,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,HAPPY!動画,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,クランクイン！ビデオ,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
2021-07-22,,配信,,ムービーフルplus,木曜 0:00（水曜深夜） 以降順次更新,2021年7月22日以降順次,
