開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2008-07-04,2008-09-19,放送,福井テレビ,,金曜 1:20 - 1:50（木曜深夜）,2008年7月4日 - 9月19日,福井県,
2008-07-04,2008-09-19,放送,テレ玉,,金曜 1:30 - 2:00（木曜深夜）,2008年7月4日 - 9月19日,埼玉県,
2008-07-04,2008-09-19,放送,奈良テレビ,,金曜 1:30 - 2:00（木曜深夜）,2008年7月4日 - 9月19日,奈良県,
2008-07-04,2008-09-19,放送,チバテレビ,,金曜 2:30 - 3:00（木曜深夜）,2008年7月4日 - 9月19日,千葉県,
2008-07-05,2008-09-20,放送,KBS京都,,土曜 2:00 - 2:30（金曜深夜）,2008年7月5日 - 9月20日,京都府,
2008-07-05,2008-09-20,放送,信越放送,,土曜 3:00 - 3:30（金曜深夜）,2008年7月5日 - 9月20日,長野県,
2008-07-06,2008-09-21,放送,岐阜放送,,日曜 1:00 - 1:30（土曜深夜）,2008年7月6日 - 9月21日,岐阜県,
2008-07-06,2008-09-21,放送,tvk,,日曜 3:30 - 4:00（土曜深夜）,2008年7月6日 - 9月21日,神奈川県,
2008-07-07,2008-09-22,放送,群馬テレビ,,月曜 1:30 - 2:00（日曜深夜）,2008年7月7日 - 9月22日,群馬県,
2008-07-08,2008-09-23,放送,サンテレビ,,火曜 2:10 - 2:40（月曜深夜）,2008年7月8日 - 9月23日,兵庫県,
2008-07-08,2008-09-23,放送,TOKYO MX,,火曜 3:00 - 3:30（月曜深夜）,2008年7月8日 - 9月23日,東京都,
2008-07-08,2008-09-23,放送,三重テレビ,,火曜 3:00 - 3:30（月曜深夜）,2008年7月8日 - 9月23日,三重県,
2008-07-10,2008-09-25,放送,TVQ九州放送,,木曜 3:38 - 4:08（水曜深夜）,2008年7月10日 - 9月25日,福岡県,
2008-07-15,2008-09-30,放送,熊本放送,,火曜 2:25 - 2:55（月曜深夜）,2008年7月15日 - 9月30日,熊本県,
2008-07-29,2008-10-21,放送,BS日テレ,,火曜 2:30 - 3:00（月曜深夜）,2008年7月29日 - 10月21日,日本全域,BS放送
2010-07-08,2010-09-23,放送,テレ玉,,木曜 1:30 - 2:00（水曜深夜）,2010年7月8日 - 9月23日,埼玉県,
2010-07-09,2010-09-24,放送,TOKYO MX,,金曜 2:00 - 2:30（木曜深夜）,2010年7月9日 - 9月24日,東京都,
2010-07-10,2010-09-25,放送,テレビ愛知,,土曜 1:58 - 2:28（金曜深夜）,2010年7月10日 - 9月25日,愛知県,
2010-07-10,2010-09-25,放送,BS日テレ,,土曜 3:00 - 3:30（金曜深夜）,2010年7月10日 - 9月25日,日本全域,BS放送
2010-07-11,2010-09-26,放送,tvk,,日曜 1:00 - 1:30（土曜深夜）,2010年7月11日 - 9月26日,神奈川県,
2010-07-12,2010-09-27,放送,TVQ九州放送,,月曜 2:30 - 3:00（日曜深夜）,2010年7月12日 - 9月27日,福岡県,
2010-07-13,2010-09-28,放送,チバテレビ,,火曜 1:30 - 2:00（月曜深夜）,2010年7月13日 - 9月28日,千葉県,
2010-07-13,2010-09-28,放送,サンテレビ,,火曜 1:40 - 2:10（月曜深夜）,2010年7月13日 - 9月28日,兵庫県,
2010-07-10,,配信,,ニコニコチャンネル,土曜 12:00 更新,2010年7月10日,,最新話1週間無料
2020-10-08,2020-12-24,放送,TOKYO MX,,木曜 1:05 - 1:35（水曜深夜）,2020年10月8日 - 12月24日,東京都,
2020-10-08,2020-12-24,放送,KBS京都,,木曜 1:05 - 1:35（水曜深夜）,2020年10月8日 - 12月24日,京都府,
2020-10-08,2020-12-24,放送,サンテレビ,,木曜 1:30 - 2:00（水曜深夜）,2020年10月8日 - 12月24日,兵庫県,
2020-10-08,2020-12-24,放送,テレビ愛知,,木曜 2:35 - 3:05（水曜深夜）,2020年10月8日 - 12月24日,愛知県,
2020-10-08,2020-12-24,放送,BS11,,木曜 23:00 - 23:30,2020年10月8日 - 12月24日,日本全域,BS放送 / 『ANIME+』枠
2020-10-09,2020-12-25,放送,AT-X,,金曜 21:30 - 22:00,2020年10月9日 - 12月25日,日本全域,CS放送 / リピート放送あり
2020-10-07,,配信,,dアニメストア,水曜 22:00 更新,2020年10月7日,,
2020-10-13,,配信,,ABEMA,火曜 0:00 - 0:30（月曜深夜）,2020年10月13日,,
2020-10-13,,配信,,Amazonプライム・ビデオ,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,バンダイチャンネル,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,J:COMオンデマンド,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,TELASA,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,U-NEXT,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,アニメ放題,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,ひかりTV,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,FOD,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,ニコニコチャンネル,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,GYAO!,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,Rakuten TV,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,ビデオマーケット,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,クランクイン!ビデオ,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,DMM.com,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,HAPPY!動画,火曜 0:00 更新,2020年10月13日,,
2020-10-13,,配信,,ムービーフル,火曜 0:00 更新,2020年10月13日,,
2016-10-06,2016-12-29,放送,TOKYO MX,,木曜 1:35 - 2:05（水曜深夜）,2016年10月6日 - 12月29日,東京都,
2016-10-08,2016-12-31,放送,KBS京都,,土曜 1:35 - 2:05（金曜深夜）,2016年10月8日 - 12月31日,京都府,
2016-10-10,2017-01-09,放送,テレ玉,,月曜 0:30 - 1:00（日曜深夜）,2016年10月10日 - 2017年1月9日,埼玉県,
2016-10-10,2017-01-09,放送,チバテレビ,,月曜 0:30 - 1:00（日曜深夜）,2016年10月10日 - 2017年1月9日,千葉県,
2016-10-10,2017-01-09,放送,tvk,,月曜 0:30 - 1:00（日曜深夜）,2016年10月10日 - 2017年1月9日,神奈川県,
2016-10-11,2017-01-03,放送,BS11,,火曜 0:30 - 1:00（月曜深夜）,2016年10月11日 - 2017年1月3日,日本全域,BS放送 / 『ANIME+』枠
2016-10-12,2017-01-09,放送,TVQ九州放送,,水曜 3:05 - 3:35（火曜深夜）,2016年10月12日 - 2017年1月9日,福岡県,最終話のみ、月曜2:35に放送。
2016-10-13,2017-01-06,放送,サンテレビ,,木曜 2:00 - 2:30（水曜深夜）,2016年10月13日 - 2017年1月6日,兵庫県,最終話のみ、金曜0:30に放送。
2016-10-18,2017-01-10,放送,AT-X,,火曜 0:00 - 0:30（月曜深夜）,2016年10月18日 - 2017年1月10日,,CS放送 / リピート放送あり
