開始,終了,タイプ,放送局,配信サイト,時間
2022-07-03,2022-09-18,放送,TOKYO MX,,日曜 23:00 - 23:30
2022-07-05,2022-09-20,放送,BS日テレ,,火曜  0:30 - 1:00（月曜深夜）
2022-07-06,2022-09-21,放送,毎日放送,,水曜 3:30 - 4:00（火曜深夜）
2022-07-03,,配信,,Amazon Prime Video,日曜 23:30 更新
2022-07-03,,配信,,アニメ放題,日曜 23:30 更新
2022-07-03,,配信,,ABEMAプレミアム,日曜 23:30 更新
2022-07-03,,配信,,FOD,日曜 23:30 更新
2022-07-03,,配信,,MBS動画イズム,日曜 23:30 更新
2022-07-03,,配信,,auスマートパスプレミアム,日曜 23:30 更新
2022-07-03,,配信,,GYAO!ストア,日曜 23:30 更新
2022-07-03,,配信,,J:COMオンデマンド,日曜 23:30 更新
2022-07-03,,配信,,TELASA,日曜 23:30 更新
2022-07-03,,配信,,dアニメストア,日曜 23:30 更新
2022-07-03,,配信,,dTV,日曜 23:30 更新
2022-07-03,,配信,,ニコニコチャンネル[13],日曜 23:30 更新
2022-07-03,,配信,,HAPPY!動画,日曜 23:30 更新
2022-07-03,,配信,,バンダイチャンネル,日曜 23:30 更新
2022-07-03,,配信,,ひかりTV,日曜 23:30 更新
2022-07-03,,配信,,ビデオマーケット,日曜 23:30 更新
2022-07-03,,配信,,Hulu,日曜 23:30 更新
2022-07-03,,配信,,music.jp,日曜 23:30 更新
2022-07-03,,配信,,milplus,日曜 23:30 更新
2022-07-03,,配信,,U-NEXT,日曜 23:30 更新
2022-07-03,,配信,,RakutenTV,日曜 23:30 更新
2022-07-06,,配信,,GYAO![14],水曜 12:00 更新
2022-07-06,,配信,,ニコニコ生放送[13],水曜 23:00 - 23:30
2022-07-07,,配信,,ABEMAアニメチャンネル[15],木曜 1:00 - 1:30（水曜深夜）
2022-07-08,,配信,,TVer,金曜 20:00 更新
2022-07-08,,配信,,MBS動画イズム,金曜 20:00 更新
