開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-10-04,2020-12-20,放送,朝日放送テレビ（幹事局）・メ〜テレ（製作参加）をはじめとするテレビ朝日系列全24局,,日曜 2:00 - 2:30（土曜深夜）,2020年10月4日 - 12月20日
2020-10-04,2020-12-20,放送,AT-X,,日曜 22:00 - 22:30,2020年10月4日 - 12月20日
2020-10-04,,配信,,TVer,日曜 2:30（土曜深夜） 更新,2020年10月4日
2020-10-04,,配信,,ABEMA[20],日曜 2:30 - 3:00（土曜深夜）,2020年10月4日
2020-10-07,,配信,,Amazonプライム・ビデオ,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,dアニメストア,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,FOD,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,J:COMオンデマンド,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,milplus,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,TELASA,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,TSUTAYA TV,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,U-NEXT,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,あにてれ,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,アニメ放題,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,バンダイチャンネル,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,ひかりTV,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,ふらっと動画,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,GYAO!,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,ニコニコチャンネル,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,DMM.com,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,Google Play,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,GYAO!ストア,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,music.jp,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,HAPPY!動画,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,Rakuten TV,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,ビデックスJP,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,ゲオTV,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,ビデオマーケット,水曜 0:00（火曜深夜） 更新,2020年10月7日
2020-10-07,,配信,,ニコニコ生放送[21],水曜 0:00 - 0:30（火曜深夜）,2020年10月7日
