開始,終了,タイプ,放送局,配信サイト,時間
2020-10-13,2021-01-05,放送,テレビ東京,,火曜 2:30 - 2:35（月曜深夜）
2020-10-13,2021-01-05,放送,AT-X,,火曜 21:50 - 21:55
2020-10-13,,配信,,dアニメストア,火曜 12:00 更新
2020-10-13,,配信,,Amazonプライム・ビデオ,火曜 12:00 更新
2020-10-13,,配信,,U-NEXT,火曜 12:00 更新
2020-10-13,,配信,,アニメ放題,火曜 12:00 更新
2020-10-13,,配信,,ひかりTV,火曜 12:00 更新
2020-10-13,,配信,,バンダイチャンネル,火曜 12:00 更新
2020-10-13,,配信,,TELASA,火曜 12:00 更新
2020-10-13,,配信,,J:COMオンデマンド,火曜 12:00 更新
2020-10-13,,配信,,あにてれ,火曜 12:00 更新
2020-10-13,,配信,,FOD,火曜 12:00 更新
2020-10-13,,配信,,ABEMA,火曜 12:00 更新
2020-10-13,,配信,,auスマートパスプレミアム,火曜 12:00 更新
2020-10-13,,配信,,milplus,火曜 12:00 更新
2020-10-13,,配信,,Paravi,火曜 12:00 更新
