開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2023-01-10,2023-03-28,放送,TOKYO MX,,火曜 23:00 - 23:30,2023年1月10日 - 3月28日,
2023-01-11,2023-03-29,放送,BS11,,水曜 0:00 - 0:30（火曜深夜）,2023年1月11日 - 3月29日,製作参加 / BS放送 / 『ANIME+』枠
2023-01-11,2023-03-29,放送,KBS京都,,水曜 1:00 - 1:30（火曜深夜）,2023年1月11日 - 3月29日,
2023-01-12,2023-03-30,放送,サンテレビ,,木曜 0:00 - 0:30（水曜深夜）,2023年1月12日 - 3月30日,
2022-01-03,,配信,,ABEMA,火曜 23:30 - 水曜 0:00,2022年1月3日,地上波1週間先行
2022-01-10,,配信,,Amazon Prime Video,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,dアニメストア,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,U-NEXT,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,アニメ放題,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,Hulu,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,バンダイチャンネル,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,ひかりTV,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,DMM TV,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,TELASA,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,J:COMオンデマンド,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,auスマートパスプレミアム,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,milplus,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,FOD,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,ビデオマーケット,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,Google Play,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,HAPPY!動画,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,ムービーフルPlus,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,GYAO!ストア,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,music.jp,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,ニコニコ,火曜 23:00 以降順次更新,2022年1月10日,
2022-01-10,,配信,,GYAO!,火曜 23:00 以降順次更新,2022年1月10日,
