開始,終了,タイプ,放送局,配信サイト,時間
2022-07-10,2022-09-25,放送,BS11,,日曜 21:55 - 22:00
2022-07-13,2022-09-28,放送,TOKYO MX,,水曜 1:00 - 1:05（火曜深夜）
2022-07-14,2022-09-29,放送,AT-X,,木曜 21:10 - 21:16
2022-07-10,,配信,,ABEMA,日曜 22:00 以降順次更新
2022-07-10,,配信,,アニメカ,日曜 22:00 以降順次更新
2022-07-10,,配信,,アニメ放題,日曜 22:00 以降順次更新
2022-07-10,,配信,,Amazon Prime Video,日曜 22:00 以降順次更新
2022-07-10,,配信,,FOD,日曜 22:00 以降順次更新
2022-07-10,,配信,,auスマートパスプレミアム,日曜 22:00 以降順次更新
2022-07-10,,配信,,J:COMオンデマンド,日曜 22:00 以降順次更新
2022-07-10,,配信,,GYAO!,日曜 22:00 以降順次更新
2022-07-10,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,日曜 22:00 以降順次更新
2022-07-10,,配信,,TELASA,日曜 22:00 以降順次更新
2022-07-10,,配信,,niconico,日曜 22:00 以降順次更新
2022-07-10,,配信,,Paravi,日曜 22:00 以降順次更新
2022-07-10,,配信,,バンダイチャンネル,日曜 22:00 以降順次更新
2022-07-10,,配信,,ひかりTV,日曜 22:00 以降順次更新
2022-07-10,,配信,,Hulu,日曜 22:00 以降順次更新
2022-07-10,,配信,,みるプラス,日曜 22:00 以降順次更新
2022-07-10,,配信,,U-NEXT,日曜 22:00 以降順次更新
2022-07-10,,配信,,HAPPY!動画,日曜 22:00 以降順次更新
2022-07-10,,配信,,ビデオマーケット,日曜 22:00 以降順次更新
2022-07-10,,配信,,VIDEX,日曜 22:00 以降順次更新
2022-07-10,,配信,,music.jp,日曜 22:00 以降順次更新
2022-07-10,,配信,,Rakuten TV,日曜 22:00 以降順次更新
2022-07-10,,配信,,ふらっと動画,日曜 22:00 以降順次更新
