開始,終了,タイプ,放送局,配信サイト,時間
2022-07-10,2022-09-25,放送,TOKYO MX,,日曜 1:30 - 2:00（土曜深夜）
2022-07-10,2022-09-25,放送,BS11,,日曜 1:30 - 2:00（土曜深夜）
2022-10-04,,放送,北海道テレビ,,火曜 1:55 - 2:25（月曜深夜）
2022-10-21,,放送,TBSチャンネル,,22:00 - 翌5:30
2022-07-10,,配信,,dアニメストア,日曜 2:00（土曜深夜） 更新
2022-07-10,,配信,,U-NEXT,日曜 2:00（土曜深夜） 更新
2022-07-10,,配信,,アニメ放題,日曜 2:00（土曜深夜） 更新
2022-07-15,,配信,,ニコニコ生放送[13],金曜 0:00 - 0:30（木曜深夜）
2022-07-15,,配信,,ABEMA,順次配信
2022-07-15,,配信,,Amazon Prime Video,順次配信
2022-07-15,,配信,,バンダイチャンネル,順次配信
2022-07-15,,配信,,FOD,順次配信
2022-07-15,,配信,,GYAO!,順次配信
2022-07-15,,配信,,Hulu,順次配信
2022-07-15,,配信,,Paravi,順次配信
2022-07-15,,配信,,ニコニコチャンネル,順次配信
2022-07-15,,配信,,WOWOWオンデマンド,順次配信
2022-07-15,,配信,,ビデオマーケット,順次配信
2022-07-15,,配信,,クランクイン！ビデオ,順次配信
2022-07-15,,配信,,アニメカ,順次配信
2022-07-15,,配信,,GYAO!ストア,順次配信
2022-07-15,,配信,,ひかりTV,順次配信
2022-07-15,,配信,,HAPPY!動画,順次配信
2022-07-15,,配信,,J:COMオンデマンド,順次配信
2022-07-15,,配信,,みるプラス,順次配信
2022-07-15,,配信,,music.jp,順次配信
2022-07-15,,配信,,Rakuten TV,順次配信
2022-07-15,,配信,,auスマートパスプレミアム,順次配信
2022-07-15,,配信,,SPOOX,順次配信
2022-07-15,,配信,,TELASA,順次配信
2022-07-15,,配信,,YouTube,順次配信
2022-07-15,,配信,,ふらっと動画,順次配信
