期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2020年4月4日 - 6月20日,土曜 1:55 - 2:25（金曜深夜）,毎日放送,近畿広域圏,製作参加 / 字幕放送,放送,2020-04-04,2020-06-20,
2020年4月4日 - 6月20日,土曜 1:55 - 2:25（金曜深夜）,TBSテレビ,関東広域圏,字幕放送,放送,2020-04-04,2020-06-20,
2020年4月4日 - 6月20日,土曜 2:30 - 3:00（金曜深夜）,BS-TBS,日本全域,BS/BS4K放送,放送,2020-04-04,2020-06-20,
2020年4月7日 - 6月23日,火曜 22:30 - 23:00,AT-X,日本全域,CS放送 / 字幕放送 / リピート放送あり,放送,2020-04-07,2020-06-23,
2020年4月4日 - 6月20日,金曜 1:40 - ,,,,配信,2020-04-04,2020-06-20,Amazon Prime Video
