開始,終了,タイプ,放送局,配信サイト,時間
2021-07-03,2021-09-18,放送,毎日放送,,土曜 2:25 - 2:55（金曜深夜）
2021-07-03,2021-09-18,放送,TBSテレビ,,土曜 2:25 - 2:55（金曜深夜）
2021-07-03,2021-09-18,放送,BS-TBS,,土曜 3:00 - 3:30（金曜深夜）
2021-07-07,2021-09-22,放送,AT-X,,水曜 22:30 - 23:00
2021-07-03,,配信,,ABEMAプレミアム,土曜 3:00（金曜深夜） 更新
2021-07-04,,配信,,ABEMA,日曜 0:00（土曜深夜） 更新
2021-07-08,,配信,,dアニメストア,木曜 3:30（水曜深夜） 更新
2021-07-09,,配信,,Netflix,金曜 更新
2021-07-09,,配信,,バンダイチャンネル,金曜 更新
2021-07-09,,配信,,Hulu,金曜 更新
2021-07-09,,配信,,TELASA,金曜 更新
2021-07-09,,配信,,auスマートパスプレミアム,金曜 更新
2021-07-09,,配信,,J:COMオンデマンドメガパック,金曜 更新
2021-07-09,,配信,,milplus,金曜 更新
2021-07-09,,配信,,ひかりTV,金曜 更新
2021-07-09,,配信,,U-NEXT,金曜 更新
2021-07-09,,配信,,FOD,金曜 更新
2021-07-09,,配信,,dTV,金曜 更新
2021-07-09,,配信,,GYAO!ストア,金曜 更新
2021-07-09,,配信,,ニコニコ生放送,金曜 更新
2021-07-09,,配信,,MBS動画イズム,金曜 更新
2021-07-09,,配信,,Tver,金曜 更新
2021-07-09,,配信,,TSUTAYA TV,金曜 更新
2021-07-09,,配信,,ビデオマーケット,金曜 更新
2021-07-09,,配信,,Rakuten TV,金曜 更新
2021-07-09,,配信,,HAPPY!動画,金曜 更新
2021-07-09,,配信,,ニコニコチャンネル,金曜 更新
2021-07-09,,配信,,DMM.com,金曜 更新
2021-07-09,,配信,,music.jp,金曜 更新
2021-07-10,,配信,,Amazon Prime Video,土曜 3:30（金曜深夜） 更新
