開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2021-01-12,,放送,TOKYO MX1,,毎週火曜 24:45～,1月12日より,
2021-01-16,,放送,MBS,,毎週土曜 27:53～,1月16日より,
2021-01-13,,放送,BS11,,毎週水曜 24:15～,1月13日より,
2021-02-27,,放送,AT-X,,毎週土曜 21:00～,2月27日より,
2021-01-12,,配信,,dアニメストア,毎週火曜日 24:30～,2021年1月12日(火)から,地上波先行配信
2021-01-19,,配信,,dアニメストア,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,ABEMA,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,Hulu,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,バンダイチャネル,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,U-NEXT,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,アニメ放題,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,ひかりTV,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,J:COMオンデマンド,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,TELASA,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,ＦＯＤ,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,niconico,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,GYAO！,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,MBS動画イズム,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,Tver,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,Rakuten TV,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,ビデオマーケット,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,DMM動画,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,HAPPY!動画,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,MOVIEFULL,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
2021-01-19,,配信,,クランクイン！ビデオ,毎週火曜日 24:00～順次配信予定,2021年1月19日から,
