開始,終了,タイプ,放送局,配信サイト,時間,期間
2022-10-09,2022-12-25,放送,TOKYO MX,,日曜 0:00 - 0:30（土曜深夜）,2022年10月9日 - 12月25日
2022-10-09,2022-12-25,放送,とちぎテレビ,,日曜 0:00 - 0:30（土曜深夜）,2022年10月9日 - 12月25日
2022-10-09,2022-12-25,放送,群馬テレビ,,日曜 0:00 - 0:30（土曜深夜）,2022年10月9日 - 12月25日
2022-10-09,2022-12-25,放送,BS11,,日曜 0:00 - 0:30（土曜深夜）,2022年10月9日 - 12月25日
2022-10-09,2022-12-25,放送,宮崎放送,,日曜 1:28 - 1:58（土曜深夜）,2022年10月9日 - 12月25日
2022-10-09,2022-12-25,放送,毎日放送,,日曜 3:08 - 3:38（土曜深夜）,2022年10月9日 - 12月25日
2022-10-10,2022-12-26,放送,AT-X,,月曜 22:30 - 23:00,2022年10月10日 - 12月26日
2022-10-14,2022-12-30,放送,RKB毎日放送,,金曜 3:00 - 3:30（木曜深夜）,2022年10月14日 - 12月30日
2022-10-09,,配信,,ABEMA,日曜 0:00 - 0:30（土曜深夜）,2022年10月9日
2022-10-11,,配信,,Netflix,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,dアニメストア（本店・for Prime Video・ニコニコ支店）,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,U-NEXT,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,アニメ放題,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,Amazon Prime Video,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,バンダイチャンネル,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,Hulu,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,ひかりTV,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,FOD,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,GYAO!,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,ニコニコチャンネル,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,WOWOWオンデマンド,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,ビデオマーケット,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,music.jp,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,GYAO!ストア,火曜 12:00 更新,2022年10月11日
2022-10-11,,配信,,ニコニコ生放送,火曜 22:30 - 23:00,2022年10月11日
2022-10-12,,配信,,TELASA,水曜 0:00（火曜深夜） 更新,2022年10月12日
2022-10-12,,配信,,J:COMオンデマンド,水曜 0:00（火曜深夜） 更新,2022年10月12日
2022-10-12,,配信,,みるプラス,水曜 0:00（火曜深夜） 更新,2022年10月12日
2022-10-12,,配信,,auスマートパスプレミアム,水曜 0:00（火曜深夜） 更新,2022年10月12日
