開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-01-11,2020-03-28,放送,AT-X,,土曜 21:00 - 21:30,2020年1月11日 - 3月28日
2020-01-12,2020-03-29,放送,TOKYO MX,,日曜 22:00 - 22:30,2020年1月12日 - 3月29日
2020-01-12,2020-03-29,放送,サンテレビ,,日曜 23:30 - 月曜 0:00,2020年1月12日 - 3月29日
2020-01-14,2020-03-31,放送,BSフジ,,火曜 0:00 - 0:30（月曜深夜）,2020年1月14日 - 3月31日
2020-01-12,,配信,,ビデオマーケット,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,GYAO!ストア,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,DMM.com,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,music.jp,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,COCORO VIDEO,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,dアニメストア,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,FOD,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,Rakuten TV,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,U-NEXT,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,アニメ放題,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,TSUTAYA TV,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,あにてれ,日曜 22:30 更新,2020年1月12日
2020-01-12,,配信,,HAPPY!動画,日曜 22:30 更新,2020年1月12日
2020-01-13,,配信,,ビデックスJP,月曜 10:00 更新,2020年1月13日
2020-01-13,,配信,,ふらっと動画,月曜 12:00 更新,2020年1月13日
2020-01-13,,配信,,ジャンバリ.TVプレミアム,月曜 12:00 更新,2020年1月13日
2020-01-14,2020-03-31,配信,,J:COMオンデマンド,火曜 0:00 更新,2020年1月14日 - 3月31日
2020-01-14,2020-03-31,配信,,ビデオパス,火曜 0:00 更新,2020年1月14日 - 3月31日
2020-01-14,2020-03-31,配信,,milplus,火曜 0:00 更新,2020年1月14日 - 3月31日
2020-01-14,,配信,,Google Play,不明,2020年1月 -
2020-01-11,,配信,,AbemaTV,不明,不明
2020-01-11,,配信,,Amazonプライム・ビデオ,不明,不明
