開始,終了,タイプ,放送局,配信サイト,時間
2021-01-05,2021-03-23,放送,AT-X,,火曜 21:00 - 21:30
2021-01-11,2021-03-29,放送,BSフジ,,月曜 1:30 - 2:00（日曜深夜）
2020-01-05,,配信,,dアニメストア,火曜 21:30 更新
2020-01-08,,配信,,Amazonプライム・ビデオ,金曜 12:00 更新
2020-01-08,,配信,,auスマートパスプレミアム,金曜 12:00 更新
2020-01-08,,配信,,DMM.com,金曜 12:00 更新
2020-01-08,,配信,,Google Play,金曜 12:00 更新
2020-01-08,,配信,,GYAO!ストア,金曜 12:00 更新
2020-01-08,,配信,,ひかりTV,金曜 12:00 更新
2020-01-08,,配信,,J:COMオンデマンド,金曜 12:00 更新
2020-01-08,,配信,,ココロビデオ,金曜 12:00 更新
2020-01-08,,配信,,みるプラス,金曜 12:00 更新
2020-01-08,,配信,,music.jp,金曜 12:00 更新
2020-01-08,,配信,,TELASA,金曜 12:00 更新
2020-01-08,,配信,,U-NEXT,金曜 12:00 更新
2020-01-08,,配信,,ビデオマーケット,金曜 12:00 更新
2020-01-11,,配信,,ABEMA,月曜 12:00 更新
2020-01-15,,配信,,あにてれ,金曜 12:00 更新
2020-01-15,,配信,,バンダイチャンネル,金曜 12:00 更新
2020-01-15,,配信,,GYAO!,金曜 12:00 更新
2020-01-15,,配信,,HAPPY!動画,金曜 12:00 更新
2020-01-15,,配信,,ムービーフル,金曜 12:00 更新
