開始,終了,タイプ,放送局,配信サイト,時間
2021-04-07,2021-06-23,放送,日本テレビ,,水曜 1:29 - 1:59（火曜深夜）
2021-04-08,2021-06-24,放送,BS日テレ,,木曜 0:00 - 0:30（水曜深夜）
2021-04-14,2021-06-30,放送,日テレプラス,,水曜 0:30 - 1:00（火曜深夜）
2021-03-31,,配信,,Hulu,水曜 0:00（火曜深夜） 更新
2021-04-07,,配信,,Amazonプライム・ビデオ,水曜 12:00 更新
2021-04-07,,配信,,dアニメストア,水曜 12:00 更新
2021-04-07,,配信,,U-NEXT,水曜 12:00 更新
2021-04-07,,配信,,アニメ放題,水曜 12:00 更新
2021-04-07,,配信,,ニコニコ動画,水曜 12:00 更新
2021-04-07,,配信,,J:COMオンデマンド,水曜 12:00 更新
2021-04-07,,配信,,みるプラス,水曜 12:00 更新
2021-04-07,,配信,,TELASA,水曜 12:00 更新
2021-04-07,,配信,,ひかりTV,水曜 12:00 更新
2021-04-07,,配信,,Rakuten TV,水曜 12:00 更新
2021-04-07,,配信,,TSUTAYA TV,水曜 12:00 更新
2021-04-07,,配信,,ビデオマーケット,水曜 12:00 更新
2021-04-07,,配信,,DMM.com,水曜 12:00 更新
2021-04-07,,配信,,GYAO!ストア,水曜 12:00 更新
2021-04-07,,配信,,music.jp,水曜 12:00 更新
2021-04-07,,配信,,COCORO VIDEO,水曜 12:00 更新
2021-04-07,,配信,,HAPPY！動画,水曜 12:00 更新
2021-04-07,,配信,,ムービーフルPlus,水曜 12:00 更新
2021-04-07,,配信,,Google Play,水曜 12:00 更新
2021-04-07,,配信,,Paravi,水曜 12:00 更新
2021-04-07,,配信,,FOD,水曜 12:00 更新
2021-04-10,,配信,,バンダイチャンネル,土曜 12:00 更新
