開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2020-10-07,2020-12-23,放送,AT-X,,水曜 21:00 - 21:30,2020年10月7日 - 12月23日,日本全域,製作参加 / CS放送 / リピート放送あり
2020-10-07,2020-12-23,放送,TOKYO MX,,水曜 23:30 - 木曜 0:00,2020年10月7日 - 12月23日,東京都,製作参加
2020-10-08,2020-12-24,放送,BS11,,木曜 1:00 - 1:30（水曜深夜）,2020年10月8日 - 12月24日,日本全域,BS放送 / 『ANIME+』枠
2020-10-09,2020-12-25,放送,サンテレビ,,金曜 1:00 - 1:30（木曜深夜）,2020年10月9日 - 12月25日,兵庫県,
2020-10-10,2020-12-26,放送,KBS京都,,土曜 1:00 - 1:30（金曜深夜）,2020年10月10日 - 12月26日,京都府,
2020-10-07,,配信,,ABEMA,水曜 23:30 - 木曜 0:00,2020年10月7日,,
2020-10-10,,配信,,dアニメストア,土曜 23:30 更新,2020年10月10日,,
2020-10-12,,配信,,niconico,不明,2020年10月12日以降,,
2020-10-12,,配信,,GYAO!,不明,2020年10月12日以降,,
2020-10-12,,配信,,ひかりTV,不明,2020年10月12日以降,,
2020-10-12,,配信,,バンダイチャンネル,不明,2020年10月12日以降,,
2020-10-12,,配信,,Hulu,不明,2020年10月12日以降,,
2020-10-12,,配信,,J:COMオンデマンド,不明,2020年10月12日以降,,
2020-10-12,,配信,,TELASA,不明,2020年10月12日以降,,
2020-10-12,,配信,,U-NEXT,不明,2020年10月12日以降,,
2020-10-12,,配信,,アニメ放題,不明,2020年10月12日以降,,
2020-10-12,,配信,,あにてれ,不明,2020年10月12日以降,,
2020-10-12,,配信,,Amazonプライム・ビデオ,不明,2020年10月12日以降,,
2020-10-12,,配信,,Rakuten TV,不明,2020年10月12日以降,,
2020-10-12,,配信,,DMM.com,不明,2020年10月12日以降,,
2020-10-12,,配信,,ビデオマーケット,不明,2020年10月12日以降,,
2020-10-12,,配信,,HAPPY!動画,不明,2020年10月12日以降,,
2020-10-12,,配信,,ムービーフルplus,不明,2020年10月12日以降,,
2023-04-03,,放送,AT-X,,月曜 22:00 - 22:30,2023年4月3日 -,日本全域,CS放送 / 字幕放送[96] / リピート放送あり
2023-04-03,,放送,TOKYO MX,,月曜 22:30 - 23:00,2023年4月3日 -,東京都,
2023-04-04,,放送,KBS京都,,火曜 0:00 - 0:30（月曜深夜）,2023年4月4日 -,京都府,
2023-04-04,,放送,サンテレビ,,火曜 0:00 - 0:30（月曜深夜）,2023年4月4日 -,兵庫県,
2023-04-04,,放送,BS11,,火曜 1:00 - 1:30（月曜深夜）,2023年4月4日 -,日本全域,BS放送 / 『ANIME+』枠
