開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2020-04-05,2020-05-17,放送,TOKYO MX,,日曜 1:00 - 1:30（土曜深夜）,2020年4月5日 - 5月17日,
2020-04-05,2020-05-17,放送,BS11,,日曜 1:00 - 1:30（土曜深夜）,2020年4月5日 - 5月17日,BS放送 / 『ANIME+』枠
2020-04-10,2020-05-22,放送,北海道テレビ,,金曜 1:20 - 1:50（木曜深夜）,2020年4月10日 - 5月22日,
2020-04-05,2020-05-17,放送,アニマックス,,日曜 23:30 - 月曜 0:00,2020年4月5日 - 5月17日,BS/CS放送 / リピート放送あり/ アニマックス特別版のみエンディング後にも実写パート
2020-04-08,2020-05-20,放送,とちぎテレビ,,水曜 23:00 - 23:30,2020年4月8日 - 5月20日,
2020-11-22,2020-12-20,放送,TOKYO MX,,日曜 1:30 - 2:00（土曜深夜）,2020年11月22日 - 12月20日,
2020-11-22,2020-12-20,放送,BS11,,日曜 1:30 - 2:00（土曜深夜）,2020年11月22日 - 12月20日,BS放送 / 『ANIME+』枠
2020-11-26,2020-12-24,放送,北海道テレビ,,木曜 1:50 - 2:20（水曜深夜）,2020年11月26日 - 12月24日,
2020-12-12,2021-01-16,放送,アニマックス,,土曜 21:30 - 22:00,2020年12月12日 - 2021年1月16日,BS/CS放送 / リピート放送ありあり/ アニマックス特別版のみエンディング後にも実写パート
2021-01-06,,放送,とちぎテレビ,,水曜 23:00 - 23:30,2021年1月6日 -,
2020-04-05,,配信,,ABEMA,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,Amazonプライム・ビデオ,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,dアニメストア,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,Hulu,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,U-NEXT,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,FOD,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,ビデオマーケット,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,music.jp,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,DMM.com,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,GYAO!ストア,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,Rakuten TV,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,クランクイン！ビデオ,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,バンダイチャンネル,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,ニコニコチャンネル,日曜 1:00（土曜深夜） 更新,2020年4月5日,
2020-04-05,,配信,,YouTube（ボンボンTV・フル☆アニメTV・いちなるTV）,日曜 7:00 更新,2020年4月5日,実写版はダイジェスト
2020-04-06,,配信,,ふらっと動画,月曜 7:00 更新,2020年4月6日,
2020-04-07,,配信,,J:COMオンデマンド,火曜 12:00 更新,2020年4月7日,
2020-04-07,,配信,,TELASA,火曜 12:00 更新,2020年4月7日,
2020-04-07,,配信,,milplus,火曜 12:00 更新,2020年4月7日,
2020-04-07,,配信,,HAPPY!動画,火曜 12:00 更新,2020年4月7日,
2020-04-07,,配信,,ひかりTV,火曜 12:00 更新,2020年4月7日,
2020-04-07,,配信,,auスマートパスプレミアム,火曜 12:00 更新,2020年4月7日,
2020-04-07,,配信,,TSUTAYA TV,火曜 19:00 更新,2020年4月7日,
2020-04-12,,配信,,ニコニコ生放送,日曜 0:30 - 1:00（土曜深夜）,2020年4月12日,
