開始,終了,タイプ,放送局,配信サイト,時間
2021-04-03,2021-06-26,放送,CBCテレビ,,土曜 0:55 - 1:25（金曜深夜）
2021-04-05,2021-06-21,放送,TOKYO MX,,月曜 22:30 - 23:00
2021-04-05,2021-06-21,放送,BS11,,月曜 23:00 - 23:30
2021-04-09,2021-06-25,放送,毎日放送,,金曜 2:30 - 3:00（木曜深夜）
2021-04-26,2021-07-12,放送,AT-X,,月曜 20:00 - 20:30
2021-10-02,2021-12-18,放送,CBCテレビ,,土曜 1:55 - 2:25（金曜深夜）
2021-10-03,2021-12-26,放送,毎日放送,,日曜 3:38 - 4:08（土曜深夜）
2021-10-04,2021-12-20,放送,TOKYO MX,,月曜 22:30 - 23:00
2021-10-04,2021-12-20,放送,BS11,,月曜 23:00 - 23:30
2021-10-05,2021-12-21,放送,AT-X,,火曜 21:00 - 21:30
2021-04-05,,配信,,dアニメストア,月曜 22:30 更新（第1期）土曜 2:25（金曜深夜） 更新
2021-04-10,,配信,,TVer,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,MBS動画イズム,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,GYAO!,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,ニコニコ動画,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,ABEMA,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,ビデオマーケット,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,music.jp,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,DMM.com,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,バンダイチャンネル,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,Amazon Prime Video,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,ひかりTV,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,Hulu,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,TELASA,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,auスマートパスプレミアム,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,J:COMオンデマンド,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,milplus,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,U-NEXT,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
2021-04-10,,配信,,アニメ放題,土曜 1:30（金曜深夜）以降 更新（第1期）水曜 22:30以降 更新（第2期）
