開始,終了,タイプ,放送局,配信サイト,時間
2018-07-05,2018-09-20,放送,AT-X,,木曜 21:30 - 22:00
2018-07-05,2018-09-20,放送,TOKYO MX,,木曜 22:00 - 22:30
2018-07-06,2018-09-21,放送,BSフジ,,金曜 0:00 - 0:30（木曜深夜）
2018-07-06,2018-09-21,放送,サンテレビ,,金曜 2:00 - 2:30（木曜深夜）
2018-07-06,,配信,,dアニメストア,金曜 12:00 更新
2018-07-06,,配信,,ニコニコチャンネル,金曜 12:00 更新
2018-07-09,,配信,,dTV,月曜 12:00 更新
2018-07-09,,配信,,TSUTAYA TV,月曜 12:00 更新
2018-07-09,,配信,,PlayStation Video,月曜 12:00 更新
2018-07-09,,配信,,ひかりTV,月曜 12:00 更新
2018-07-09,,配信,,Rakuten TV,月曜 12:00 更新
2018-07-09,,配信,,DMM.com,月曜 12:00 更新
2018-07-09,,配信,,ビデオマーケット,月曜 12:00 更新
2018-07-09,,配信,,music.jp,月曜 12:00 更新
2018-07-09,,配信,,J:COMオンデマンド,月曜 12:00 更新
2018-07-09,,配信,,GYAO!ストア,月曜 12:00 更新
2018-07-09,,配信,,HAPPY!動画,月曜 12:00 更新
2018-07-09,,配信,,ムービーフルplus,月曜 12:00 更新
2018-07-09,,配信,,U-NEXT,月曜 12:00 更新
2018-07-09,,配信,,アニメ放題,月曜 12:00 更新
2018-07-09,,配信,,あにてれ,月曜 12:00 更新
2018-07-09,,配信,,Netflix,月曜 12:00 更新
2018-07-09,,配信,,Amazonプライム・ビデオ,月曜 12:00 更新
2018-07-09,,配信,,GYAO!,月曜 12:00 更新
2018-07-10,,配信,,AbemaTV,火曜 0:30 - 1:00（月曜深夜）
2018-07-11,,配信,,バンダイチャンネル,水曜 12:00 更新
2018-07-12,,配信,,ビデオパス,木曜 12:00 更新
2018-07-12,,配信,,J:COMオンデマンド メガパック,木曜 12:00 更新
2018-08-04,,配信,,ANIMAX on PlayStation,土曜 0:00 - 0:27（金曜深夜）
2021-04-09,,配信,,dアニメストア,金曜 2:00（木曜深夜） 更新
2021-04-09,,配信,,ニコニコチャンネル,金曜 2:00（木曜深夜） 更新
2021-04-09,,配信,,Playstation Video,金曜 12:00 更新
2021-04-09,,配信,,Rakuten TV,金曜 12:00 更新
2021-04-09,,配信,,ムービーフルplus,金曜 12:00 更新
2021-04-12,,配信,,dTV,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,FOD,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,Netflix,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,U-NEXT,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,アニメ放題,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,クランクインビデオ,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,J:COMオンデマンド,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,TELASA,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,Milplus,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,ABEMA,月曜 0:00（日曜深夜） 更新
2021-04-12,,配信,,ニコニコ生放送,月曜 22:30 - 23:00
2021-04-13,,配信,,DMM.com,火曜 12:00 更新
2021-04-13,,配信,,GYAO!,火曜 12:00 更新
2021-04-13,,配信,,GYAO!ストア,火曜 12:00 更新
2021-04-13,,配信,,music.jp,火曜 12:00 更新
2021-04-13,,配信,,ビデオマーケット,火曜 12:00 更新
2021-04-13,,配信,,HAPPY!動画,火曜 12:00 更新
2021-04-16,,配信,,TSUTAYA TV,金曜 19:00 更新
