開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2023-01-07,2023-04-08,放送,TOKYO MX,,土曜 23:30 - 日曜 0:00,2023年1月7日 - 4月8日,東京都,
2023-01-07,2023-04-08,放送,とちぎテレビ,,土曜 23:30 - 日曜 0:00,2023年1月7日 - 4月8日,栃木県,
2023-01-07,2023-04-08,放送,群馬テレビ,,土曜 23:30 - 日曜 0:00,2023年1月7日 - 4月8日,群馬県,
2023-01-07,2023-04-08,放送,BS11,,土曜 23:30 - 日曜 0:00,2023年1月7日 - 4月8日,日本全域,BS放送
2023-01-08,2023-04-02,放送,北海道テレビ,,日曜 2:30 - 3:00（土曜深夜）,2023年1月8日 - 4月2日,北海道,
2023-01-08,2023-04-02,放送,毎日放送,,日曜 3:08 - 3:38（土曜深夜）,2023年1月8日 - 4月2日,近畿広域圏,『アニメシャワー』第3部
2023-01-09,2023-04-03,放送,福岡放送,,月曜 1:50 - 2:20（日曜深夜）,2023年1月9日 - 4月3日,福岡県,
2023-01-13,2023-04-07,放送,メ〜テレ,,金曜 2:15 - 2:45（木曜深夜）,2023年1月13日 - 4月7日,中京広域圏,
2023-01-08,,配信,,DMM TV,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,ABEMAプレミアム,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,バンダイチャンネル,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,dアニメストア（本店・for Prime Video）,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,FOD,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,GYAO!,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,Hulu,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,MBS動画イズム,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,music.jp,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,ニコニコチャンネル,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,Amazon Prime Video,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,TVer,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,U-NEXT,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,アニメ放題,日曜 12:00 更新,2023年1月8日,,
2023-01-08,,配信,,ビデオマーケット,日曜 12:00 更新,2023年1月8日,,
2023-01-09,,配信,,TELASA,月曜 0:00（日曜深夜） 更新,2023年1月9日,,
2023-01-09,,配信,,J:COMオンデマンド,月曜 0:00（日曜深夜） 更新,2023年1月9日,,
2023-01-09,,配信,,auスマートパスプレミアム,月曜 0:00（日曜深夜） 更新,2023年1月9日,,
2023-01-09,,配信,,milplus見放題パックプライム,月曜 0:00（日曜深夜） 更新,2023年1月9日,,
2023-01-09,,配信,,ニコニコ生放送,月曜 21:00 - 21:30,2023年1月9日,,
2023-04-10,2023-04-17,放送,福岡放送,,月曜 2:20 - 2:50（日曜深夜）,2023年4月10日 - 4月17日,福岡県,
2023-04-14,2023-04-21,放送,メ〜テレ,,金曜 2:15 - 2:45（木曜深夜）,2023年4月14日 - 4月21日,中京広域圏,
2023-04-15,,放送,TOKYO MX,,土曜 20:30 - 21:00,2023年4月15日,東京都,
2023-04-15,,放送,とちぎテレビ,,土曜 20:30 - 21:00,2023年4月15日,栃木県,
2023-04-15,2023-04-22,放送,北海道テレビ,,日曜 2:15 - 2:45（土曜深夜）,2023年4月15日 - 4月22日,北海道,
2023-04-16,,放送,BS11,,日曜 19:30 - 20:00,2023年4月16日,日本全域,BS放送
2023-04-16,,放送,群馬テレビ,,日曜 20:30 - 21:00,2023年4月16日,群馬県,
2023-04-17,,放送,毎日放送,,月曜 3:25 - 4:25（日曜深夜）,2023年4月17日,近畿広域圏,2話連続
