開始,終了,タイプ,放送局,配信サイト,時間
2023-01-08,2023-03-26,放送,TOKYO MX,,日曜 23:30 - 月曜 0:00
2023-01-09,2023-03-27,放送,AT-X,,月曜 23:00 - 23:30
2023-01-13,2023-03-31,放送,BS12 トゥエルビ,,金曜 2:00 - 2:30（木曜深夜）
2022-01-06,,配信,,DMM TV,金曜 22:00
2022-01-11,,配信,,ABEMA,水曜 22:00 以降順次
2022-01-11,,配信,,Amazon Prime Video,水曜 22:00 以降順次
2022-01-11,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,水曜 22:00 以降順次
2022-01-11,,配信,,FOD,水曜 22:00 以降順次
2022-01-11,,配信,,Hulu,水曜 22:00 以降順次
2022-01-11,,配信,,J:COMオンデマンド,水曜 22:00 以降順次
2022-01-11,,配信,,milplus,水曜 22:00 以降順次
2022-01-11,,配信,,TELASA,水曜 22:00 以降順次
2022-01-11,,配信,,auスマートパスプレミアム,水曜 22:00 以降順次
2022-01-11,,配信,,U-NEXT,水曜 22:00 以降順次
2022-01-11,,配信,,アニメ放題,水曜 22:00 以降順次
2022-01-11,,配信,,バンダイチャンネル,水曜 22:00 以降順次
2022-01-11,,配信,,GYAO!,水曜 22:00 以降順次
2022-01-11,,配信,,ニコニコ生放送,水曜 22:00 以降順次
2022-01-11,,配信,,Google Play,水曜 22:00 以降順次
2022-01-11,,配信,,GYAO!ストア,水曜 22:00 以降順次
2022-01-11,,配信,,HAPPY!動画,水曜 22:00 以降順次
2022-01-11,,配信,,music.jp,水曜 22:00 以降順次
2022-01-11,,配信,,Rakuten TV,水曜 22:00 以降順次
2022-01-11,,配信,,VIDEX,水曜 22:00 以降順次
2022-01-11,,配信,,YouTube,水曜 22:00 以降順次
2022-01-11,,配信,,ニコニコチャンネル,水曜 22:00 以降順次
2022-01-11,,配信,,ビデオマーケット,水曜 22:00 以降順次
2022-01-11,,配信,,ムービーフルPlus,水曜 22:00 以降順次
