開始,終了,タイプ,放送局,配信サイト,時間
2020-04-07,2021-03-23,放送,テレビ東京系列全6局,,火曜 17:55 - 18:25
2020-04-30,2021-04-08,放送,テレビ和歌山,,木曜 7:30 - 8:00
2020-04-08,,配信,,あにてれ,水曜 12:00 更新
2020-04-08,,配信,,Amazonプライム・ビデオ,水曜 12:00 更新
2020-04-08,,配信,,Google Play,水曜 12:00 更新
2020-04-08,,配信,,GYAO!ストア,水曜 12:00 更新
2020-04-08,,配信,,dアニメストア,水曜 12:00 更新
2020-04-08,,配信,,DMM.com,水曜 12:00 更新
2020-04-08,,配信,,ニコニコチャンネル,水曜 12:00 更新
2020-04-08,,配信,,HAPPY!動画,水曜 12:00 更新
2020-04-08,,配信,,バンダイチャンネル,水曜 12:00 更新
2020-04-08,,配信,,ビデオマーケット,水曜 12:00 更新
2020-04-08,,配信,,music.jp,水曜 12:00 更新
2020-04-09,,配信,,J:COMオンデマンド メガパック,木曜 0:00 更新
2020-04-09,,配信,,auスマートパスプレミアム,木曜 0:00 更新
2020-04-09,,配信,,TELASA,木曜 0:00 更新
2020-04-09,,配信,,milplus 見放題パックプライム,木曜 0:00 更新
2020-04-09,,配信,,ABEMA[364],木曜 3:00 - 3:30（水曜深夜）
2020-04-15,,配信,,ひかりTV,水曜 12:00 更新
2020-04-16,,配信,,TSUTAYA TV,木曜 0:00 更新
