開始,終了,タイプ,放送局,配信サイト,時間
2022-10-29,2022-12-17,放送,テレビ東京,,土曜 1:23 - 1:53（金曜深夜）
2022-10-29,2022-12-17,放送,テレビ大阪,,土曜 2:10 - 2:40（金曜深夜）
2022-10-30,2022-12-18,放送,BS11,,日曜 23:30 - 月曜 0:00
2022-11-05,2022-12-24,放送,アニマックス,,土曜 22:00 - 22:30
2022-10-29,,配信,,ニコニコチャンネル[38],土曜 10:00 更新
2022-10-29,,配信,,ニコニコ生放送[38],土曜 23:30 - 日曜 0:00
2022-10-29,,配信,,dアニメストア,土曜 10:00 以降順次更新
2022-10-29,,配信,,Amazon Prime Video,土曜 10:00 以降順次更新
2022-10-29,,配信,,U-NEXT,土曜 10:00 以降順次更新
2022-10-29,,配信,,アニメ放題,土曜 10:00 以降順次更新
2022-10-29,,配信,,FOD,土曜 10:00 以降順次更新
2022-10-29,,配信,,ひかりTV,土曜 10:00 以降順次更新
2022-10-29,,配信,,J:COMオンデマンド,土曜 10:00 以降順次更新
2022-10-29,,配信,,TELASA,土曜 10:00 以降順次更新
2022-10-29,,配信,,milplus,土曜 10:00 以降順次更新
2022-10-29,,配信,,ABEMAビデオ,土曜 10:00 以降順次更新
2022-10-29,,配信,,GYAO!,土曜 10:00 以降順次更新
2022-10-29,,配信,,Rakuten TV,土曜 10:00 以降順次更新
2022-10-29,,配信,,ビデオマーケット,土曜 10:00 以降順次更新
2022-10-29,,配信,,GYAO!ストア,土曜 10:00 以降順次更新
2022-10-29,,配信,,バンダイチャンネル,土曜 10:00 以降順次更新
2022-10-29,,配信,,Hulu,土曜 10:00 以降順次更新
2022-10-29,,配信,,Google Play,土曜 10:00 以降順次更新
2022-10-29,,配信,,ふらっと動画,土曜 10:00 以降順次更新
2022-10-29,,配信,,Paravi,土曜 10:00 以降順次更新
2022-10-30,,配信,,ABEMA[39],日曜 23:30 - 月曜 0:00
