開始,終了,タイプ,放送局,配信サイト,時間
2020-04-05,2021-04-04,放送,テレビ東京（製作局）をはじめとするテレビ東京系列全6局,,日曜 10:30 - 11:00
2020-04-10,,放送,AT-X,,金曜 0:00 - 0:30（木曜深夜）火曜 22:00 - 22:30
2020-05-31,2021-05-30,放送,キッズステーション,,日曜 11:00 - 11:30
2020-08-17,2021-07-12,放送,テレビ和歌山,,月曜 17:00 - 17:30
2020-04-05,,配信,,U-NEXT,日曜 12:00 更新
2020-04-05,,配信,,アニメ放題,日曜 12:00 更新
2020-04-10,,配信,,YouTube（第1話）[40],金曜 12:00 配信開始
2020-04-10,,配信,,ミレール,金曜 12:00 更新
2020-04-10,,配信,,ABEMA,金曜 12:00 更新
2020-04-10,,配信,,Amazon Prime Video,金曜 12:00 更新
2020-04-10,,配信,,dアニメストア,金曜 12:00 更新
2020-04-10,,配信,,DMM.com,金曜 12:00 更新
2020-04-10,,配信,,FOD,金曜 12:00 更新
2020-04-10,,配信,,GYAO!ストア,金曜 12:00 更新
2020-04-10,,配信,,music.jp,金曜 12:00 更新
2020-04-10,,配信,,ニコニコチャンネル,金曜 12:00 更新
2020-04-10,,配信,,Paravi,金曜 12:00 更新
2020-04-10,,配信,,Rakuten TV,金曜 12:00 更新
2020-04-10,,配信,,あにてれ,金曜 12:00 更新
2020-04-10,,配信,,バンダイチャンネル,金曜 12:00 更新
2020-04-10,,配信,,ひかりTV,金曜 12:00 更新
2020-04-10,,配信,,ビデオマーケット,金曜 12:00 更新
2020-04-11,,配信,,J:COMオンデマンド,土曜 0:00（金曜深夜） 更新
2020-04-11,,配信,,TELASA,土曜 0:00（金曜深夜） 更新
2020-04-11,,配信,,みるプラス,土曜 0:00（金曜深夜） 更新
2021-04-11,2022-03-27,放送,テレビ東京（製作局）をはじめとするテレビ東京系列全6局,,日曜 10:30 - 11:00
2021-06-19,2022-06-18,放送,キッズステーション,,土曜 7:30 - 8:00
2021-07-19,2022-07-04,放送,テレビ和歌山,,月曜 17:00 - 17:30
2021-08-27,2022-05-13,放送,AT-X,,金曜 20:00 - 20:30
