開始,終了,タイプ,放送局,配信サイト,時間,期間
2023-01-05,2023-03-30,放送,AT-X,,木曜 22:30 - 23:00,2023年1月5日 - 3月30日
2023-01-05,2023-03-30,放送,TOKYO MX,,木曜 23:30 - 金曜 0:00,2023年1月5日 - 3月30日
2023-01-05,2023-03-30,放送,BS日テレ,,木曜 23:30 - 金曜 0:00,2023年1月5日 - 3月30日
2023-01-06,2023-03-31,放送,KBS京都,,金曜 0:00 - 0:30（木曜深夜）,2023年1月6日 - 3月31日
2023-01-06,2023-03-31,放送,サンテレビ,,金曜 0:00 - 0:30（木曜深夜）,2023年1月6日 - 3月31日
2023-01-10,2023-04-06,放送,テレビ愛知,,火曜 2:35 - 3:05（月曜深夜）,2023年1月10日 - 4月6日
2023-01-05,,配信,,ABEMA,木曜 23:00,2023年1月5日
2023-01-05,,配信,,dアニメストア,木曜 23:00,2023年1月5日
2023-01-12,,配信,,ニコニコ生放送,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,ニコニコチャンネル,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,ひかりTV,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,GYAO!,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,FOD,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,バンダイチャンネル,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,Hulu,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,TELASA,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,J:COMオンデマンド,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,milplus,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,U-NEXT,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,アニメ放題,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,Amazon Prime Video,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,DMM TV,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,Disney+,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,WOWOWオンデマンド,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,Netflix,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,Rakuten TV,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,music.jp,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,ビデオマーケット,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,HAPPY!動画,木曜 23:00 以降順次,2023年1月12日
2023-01-12,,配信,,クランクイン!ビデオ,木曜 23:00 以降順次,2023年1月12日
