開始,終了,タイプ,放送局,配信サイト,時間,対象地域,備考
2021-07-03,2021-09-25,放送,TOKYO MX,,土曜 23:30 - 日曜 0:00,東京都,
2021-07-03,2021-09-25,放送,とちぎテレビ,,土曜 23:30 - 日曜 0:00,栃木県,
2021-07-03,2021-09-25,放送,群馬テレビ,,土曜 23:30 - 日曜 0:00,群馬県,
2021-07-03,2021-09-25,放送,BS11,,土曜 23:30 - 日曜 0:00,日本全域,BS放送 / 『ANIME+』枠
2021-07-03,2021-09-25,放送,AT-X,,土曜 23:30 - 日曜 0:00,日本全域,CS放送 / リピート放送あり
2021-07-04,2021-09-26,放送,毎日放送,,日曜 3:08 - 3:38（土曜深夜）,近畿広域圏,『アニメシャワー』第3部
2021-07-05,2021-09-27,放送,テレビ愛知,,月曜 2:05 - 2:35（日曜深夜）,愛知県,
2021-07-03,2021-09-25,配信,,ABEMA,土曜 23:30 - 日曜 0:00,,
2021-07-03,2021-09-25,配信,,dアニメストア,土曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,ニコニコ生放送,木曜 23:30 - 金曜 0:00,,
2020-07-08,2021-09-25,配信,,ニコニコチャンネル,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,GYAO!,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,ひかりTV,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,FOD,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,Netflix,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,バンダイチャンネル,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,Hulu,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,J:COMオンデマンド,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,TELASA,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,みるプラス,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,アニメ放題,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,U-NEXT,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,Amazon Prime Video,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,MBS動画イズム,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,TVer,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,Rakuten TV,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,DMM.com,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,music.jp,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,GYAO!ストア,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,ビデオマーケット,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,HAPPY!動画,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,クランクイン！ビデオ,木曜 23:30 更新,,
2020-07-08,2021-09-25,配信,,ムービーフルplus,木曜 23:30 更新,,
