開始,終了,タイプ,放送局,配信サイト,時間
2021-04-05,2021-06-21,放送,TOKYO MX,,月曜 0:00 - 0:30（日曜深夜）
2021-04-05,2021-06-21,放送,KBS京都,,月曜 0:00 - 0:30（日曜深夜）
2021-04-05,2021-06-21,放送,BS11,,月曜 0:00 - 0:30（日曜深夜）
2021-04-05,2021-06-21,放送,サンテレビ,,月曜 0:30 - 1:00（日曜深夜）
2021-04-08,2021-06-24,放送,AT-X,,木曜 22:30 - 23:00
2021-04-10,2021-06-26,放送,J:COMテレビ,,土曜 1:00 - 1:30（金曜深夜）
2021-04-05,,配信,,Amazonプライム・ビデオ,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,FOD,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,GYAO!,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,Hulu,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,DMM.com,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,Google Play,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,GYAO!ストア,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,music.jp,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,Rakuten TV,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,ビデオマーケット,月曜 0:30（日曜深夜） 更新
2021-04-05,,配信,,ABEMA,月曜 1:00（日曜深夜） 更新
2021-04-05,,配信,,VIDEX,月曜 10:00 更新
2021-04-05,,配信,,バンダイチャンネル,月曜 12:00 更新
2021-04-05,,配信,,TSUTAYA TV,月曜 19:00 更新
2021-04-06,,配信,,U-NEXT,火曜 0:30（月曜深夜） 更新
2021-04-06,,配信,,アニメ放題,火曜 0:30（月曜深夜） 更新
2021-04-06,,配信,,ニコニコチャンネル,火曜 0:30（月曜深夜） 更新
2021-04-06,,配信,,ひかりTV,火曜 0:30（月曜深夜） 更新
2021-04-06,,配信,,ニコニコ生放送,火曜 0:30 - 1:00（月曜深夜）
2021-04-07,,配信,,J:COMオンデマンド,水曜 0:00（火曜深夜） 更新
2021-04-07,,配信,,milplus,水曜 0:00（火曜深夜） 更新
2021-04-07,,配信,,TELASA,水曜 0:00（火曜深夜） 更新
2021-04-08,,配信,,ふらっと動画,木曜 12:00 更新
2021-04-08,,配信,,HAPPY!動画,木曜 12:00 更新
