開始,終了,タイプ,放送局,配信サイト,時間
2020-01-07,2020-03-24,放送,TOKYO MX,,火曜 0:30 - 1:00（月曜深夜）
2020-01-07,2020-03-24,放送,KBS京都,,火曜 0:30 - 1:00（月曜深夜）
2020-01-07,2020-03-24,放送,サンテレビ,,火曜 0:30 - 1:00（月曜深夜）
2020-01-07,2020-03-24,放送,BS11,,火曜 0:30 - 1:00（月曜深夜）
2020-01-12,2020-03-29,放送,アニマックス,,日曜 23:30 - 月曜 0:00
2020-01-07,,配信,,AbemaTV,火曜 0:00 - 0:30（月曜深夜）
2020-01-10,,配信,,アニマックスオンデマンド,金曜 0:30 更新
2020-01-10,,配信,,Amazonプライム・ビデオ,金曜 0:30 更新
2020-01-10,,配信,,GYAO!,金曜 0:30 更新
2020-01-10,,配信,,GYAO!ストア,金曜 0:30 更新
2020-01-10,,配信,,QTVドーガ,金曜 0:30 更新
2020-01-10,,配信,,COCOROVIDEO,金曜 0:30 更新
2020-01-10,,配信,,J:COMオンデマンド,金曜 0:30 更新
2020-01-10,,配信,,dアニメストア,金曜 0:30 更新
2020-01-10,,配信,,DMM.com,金曜 0:30 更新
2020-01-10,,配信,,てのひら動画,金曜 0:30 更新
2020-01-10,,配信,,ニコニコチャンネル,金曜 0:30 更新
2020-01-10,,配信,,ビデオパス,金曜 0:30 更新
2020-01-10,,配信,,ビデオマーケット,金曜 0:30 更新
2020-01-10,,配信,,みるプラス,金曜 0:30 更新
2020-01-10,,配信,,music.jp,金曜 0:30 更新
2020-01-10,,配信,,Rakuten TV,金曜 0:30 更新
2020-01-10,,配信,,アニメ放題,金曜 12:00 更新
2020-01-10,,配信,,HAPPY!動画,金曜 12:00 更新
2020-01-10,,配信,,U-NEXT,金曜 12:00 更新
2020-01-10,,配信,,TSUTAYA TV,金曜 19:00 更新
2020-01-11,,配信,,FOD,土曜 0:30 更新
2020-01-12,,配信,,dTV,日曜 0:30 更新
2020-01-12,,配信,,Playストア,日曜 12:00 更新
2020-01-12,,配信,,バンダイチャンネル,日曜 12:00 更新
2020-01-12,,配信,,ひかりTV,日曜 12:00 更新
