開始,終了,タイプ,放送局,配信サイト,時間
2020-07-06,2020-09-28,放送,AT-X,,月曜 23:30 - 火曜 0:00
2020-07-07,2020-09-29,放送,TOKYO MX,,火曜 0:00 - 0:30（月曜深夜）
2020-07-07,,配信,,ABEMA,火曜 0:00 - 0:30（月曜深夜）
2020-07-07,,配信,,dアニメストア,火曜 12:00 更新
2020-07-07,,配信,,U-NEXT,火曜 12:00 更新
2020-07-07,,配信,,アニメ放題,火曜 12:00 更新
2020-07-07,,配信,,ひかりTV,火曜 12:00 更新
2020-07-07,,配信,,J:COMオンデマンド,火曜 12:00 更新
2020-07-07,,配信,,TELASA,火曜 12:00 更新
2020-07-07,,配信,,TSUTAYA TV,火曜 12:00 更新
2020-07-07,,配信,,Google Play,火曜 12:00 更新
2020-07-07,,配信,,Rakuten TV,火曜 12:00 更新
2020-07-07,,配信,,Amazonプライム・ビデオ,火曜 12:00 更新
2020-07-07,,配信,,ビデオマーケット,火曜 12:00 更新
2020-07-07,,配信,,DMM動画,火曜 12:00 更新
2020-07-07,,配信,,music.jp,火曜 12:00 更新
2020-07-07,,配信,,GYAO!ストア,火曜 12:00 更新
2020-07-07,,配信,,クランクイン！ビデオ,火曜 12:00 更新
2020-07-07,,配信,,バンダイチャンネル,火曜 12:00 更新
