開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2013-04-04,2013-06-27,放送,TOKYO MX,,木曜 22:00 - 22:30,2013年4月4日 - 6月27日,東京都,
2013-04-05,2013-06-28,放送,KBS京都,,金曜 1:00 - 1:30（木曜深夜）,2013年4月5日 - 6月28日,京都府,
2013-04-05,2013-06-28,放送,サンテレビ,,金曜 2:00 - 2:30（木曜深夜）,2013年4月5日 - 6月28日,兵庫県,
2013-04-05,2013-06-28,放送,テレビ愛知,,金曜 2:35 - 3:05（木曜深夜）,2013年4月5日 - 6月28日,愛知県,
2013-04-05,2013-07-05,放送,BS日テレ,,金曜 2:30 - 3:00（木曜深夜）,2013年4月5日 - 7月5日,日本全域,BS放送
2013-04-11,2013-07-04,放送,AT-X,,木曜 22:30 - 23:00,2013年4月11日 - 7月4日,日本全域,CS放送 / リピート放送あり
2013-04-12,,配信,,dアニメストア,金曜 12:00 更新,2013年4月12日,,
2013-04-12,,配信,,ShowTime,金曜 16:00 更新,2013年4月12日,,
2013-04-12,,配信,,ニコニコ生放送,金曜 23:00 - 23:30,2013年4月12日,,
2013-04-12,,配信,,ニコニコチャンネル,金曜 23:30 更新,2013年4月12日,,
2013-04-17,,配信,,dアニメストア,金曜 12:00 更新,2013年4月17日,,
2013-04-17,,配信,,PlayStation Store,水曜 午後 更新,2013年4月17日,,
2013-04-26,,配信,,バンダイチャンネル,金曜 12:00 更新,2013年4月26日,,
2022-07-14,2022-09-29,放送,TOKYO MX,,木曜 23:30 - 金曜 0:00,2022年7月14日 - 9月29日,東京都,製作参加 / 字幕放送
2022-07-14,2022-09-29,放送,BS11,,木曜 23:30 - 金曜 0:00,2022年7月14日 - 9月29日,日本全域,製作参加 / BS放送 / 『ANIME+』枠
2022-07-15,2022-09-30,放送,AT-X,,金曜 21:30 - 22:00,2022年7月15日 - 9月30日,日本全域,CS放送 / 字幕放送[51] / リピート放送あり
2022-07-17,2022-10-02,放送,毎日放送,,日曜 2:38 - 3:08（土曜深夜）,2022年7月17日 - 10月2日,近畿広域圏,『アニメシャワー』第2部
2023-07-13,,放送,TOKYO MX,,木曜 23:30 - 金曜 0:00,2023年7月13日 -,東京都,
2023-07-13,,放送,BS11,,木曜 23:30 - 金曜 0:00,2023年7月13日 -,日本全域,
2023-07-14,,放送,AT-X,,金曜 22:00 - 22:30,2023年7月14日 -,日本全域,リピート放送あり
2023-07-16,,放送,毎日放送,,日曜 2:38 - 3:08（土曜深夜）,2023年7月16日 -,近畿広域圏,
