開始,終了,タイプ,放送局,配信サイト,時間,期間
2021-01-08,2021-03-26,放送,AT-X,,金曜 21:00 - 21:30,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,TOKYO MX,,金曜 22:00 - 22:30,2021年1月8日 - 3月26日
2021-01-09,2021-03-27,放送,BS11,,土曜 22:00 - 22:30,2021年1月9日 - 3月27日
2021-01-08,,配信,,ABEMA,金曜 22:00 - 22:30,2021年1月8日
2021-01-08,,配信,,dアニメストア,金曜 22:00 更新,2021年1月8日
2021-01-13,,配信,,Amazon Prime Video,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,Netflix,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,U-NEXT,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,アニメ放題,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,J:COMオンデマンド,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,みるプラス,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,TELASA,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,スマートパスプレミアム,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,バンダイチャンネル,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,Hulu,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,FOD,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,GYAO!,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,ひかりTV,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,ニコニコチャンネル,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,TSUTAYA TV,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,ビデオマーケット,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,DMM.com,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,Rakuten TV,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,Google Play,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,クランクイン！ビデオ,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,HAPPY!動画,水曜 0:00（火曜深夜） 更新,2021年1月13日
2021-01-13,,配信,,ニコニコ生放送,水曜 0:00 - 0:30（火曜深夜）,2021年1月13日
