期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2020年1月6日 - 3月30日,月曜 22:00 - 22:30,TOKYO MX,東京都,,放送,2020-01-06,2020-03-30,
2020年1月6日 - 3月30日,月曜 23:00 - 23:30,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2020-01-06,2020-03-30,
2020年1月6日 - 3月30日,月曜 23:00 - 23:30,AT-X,日本全域,CS放送 / 字幕放送 / リピート放送あり,放送,2020-01-06,2020-03-30,
2020年1月13日 - 3月30日,月曜 1:25 - 1:55（日曜深夜）,北海道放送,北海道,原作者出身地3月30日は第12話・第13話連続放送[注 1],放送,2020-01-13,2020-03-30,
2020年7月5日 - 9月27日,日曜 1:59 - 2:29（土曜深夜）,中京テレビ,中京広域圏,『チュッキョアニメ』枠9月27日は第12話・第13話連続放送[注 2],放送,2020-07-05,2020-09-27,
2020年1月6日 - 3月30日,月曜 22:00 - 22:30,,,,配信,2020-01-06,2020-03-30,Amazonプライム・ビデオ
2020年1月6日 - 3月30日,月曜 22:00 - 22:30,,,,配信,2020-01-06,2020-03-30,NTTぷらら
