期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2020年1月10日 - 3月20日,金曜 0:55 - 1:25（木曜深夜）,フジテレビ,関東広域圏,製作参加,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 0:55 - 1:25（木曜深夜）,岩手めんこいテレビ,岩手県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 0:55 - 1:25（木曜深夜）,さくらんぼテレビ,山形県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 0:55 - 1:25（木曜深夜）,サガテレビ,佐賀県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:15 - 1:45（木曜深夜）,テレビ愛媛,愛媛県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:20 - 1:50（木曜深夜）,秋田テレビ,秋田県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:25 - 1:55（木曜深夜）,福島テレビ,福島県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:35 - 2:05（木曜深夜）,テレビ静岡,静岡県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:45 - 2:15（木曜深夜）,NST新潟総合テレビ,新潟県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:45 - 2:15（木曜深夜）,長野放送,長野県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:45 - 2:15（木曜深夜）,テレビ熊本,熊本県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:55 - 2:25（木曜深夜）,テレビ新広島,広島県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 1:55 - 2:25（木曜深夜）,テレビ西日本,福岡県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 2:00 - 2:30（木曜深夜）,仙台放送,宮城県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 2:00 - 2:30（木曜深夜）,鹿児島テレビ,鹿児島県,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 2:10 - 2:40（木曜深夜）,東海テレビ,中京広域圏,,放送,2020-01-10,2020-03-20,
2020年1月10日 - 3月20日,金曜 2:25 - 2:55（木曜深夜）,関西テレビ,近畿広域圏,,放送,2020-01-10,2020-03-20,
2020年1月14日 - 3月24日,火曜 1:25 - 1:55（月曜深夜）,山陰中央テレビ,鳥取県・島根県,,放送,2020-01-14,2020-03-24,
2020年1月9日 -,木曜 28:00 - ,,,,配信,2020-01-09,,FOD
2020年1月9日 -,木曜 28:00 - ,,,,配信,2020-01-09,,dアニメストア
2020年1月9日 -,木曜 28:00 - ,,,,配信,2020-01-09,,dアニメストア　for Prime Video
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,GYAO!
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,バンダイチャンネル
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,J:COMメガパック
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,ビデオパス
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,U-NEXT
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,アニメ放題
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,Video Market
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,DMM.com
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,music.jp
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,Amazonプライム・ビデオ
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,ひかりTV
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,Tver
2020年1月11日 -,土曜 12:00 - ,,,,配信,2020-01-11,,ニコニコチャンネル
2020年1月11日 -,土曜 22:30 - ,,,,配信,2020-01-11,,ニコニコ生放送
