開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2021-10-02,2021-12-18,放送,毎日放送,,土曜 1:55 - 2:25（金曜深夜）,2021年10月2日 - 12月18日,近畿広域圏,製作局 / 字幕放送
2021-10-02,2021-12-18,放送,TBSテレビ,,土曜 1:55 - 2:25（金曜深夜）,2021年10月2日 - 12月18日,関東広域圏,字幕放送
2021-10-02,2021-12-18,放送,BS-TBS,,土曜 2:30 - 3:00（金曜深夜）,2021年10月2日 - 12月18日,日本全域,BS/BS4K放送
2021-10-04,2021-12-20,放送,AT-X,,月曜 21:00 - 21:30,2021年10月4日 - 12月20日,日本全域,CS放送 / 字幕放送[40] / リピート放送あり
2021-10-04,,配信,,MBS動画イズム,,,,
2021-10-04,,配信,,Paravi,,,,
2021-10-04,,配信,,バンダイチャンネル,,,,
2021-10-04,,配信,,TELASA,,,,
2021-10-04,,配信,,dアニメストア,,,,
2021-10-04,,配信,,Hulu,,,,
2021-10-04,,配信,,ひかりTV,,,,
2021-10-04,,配信,,U-NEXT,,,,
2021-10-04,,配信,,アニメ放題,,,,
2021-10-04,,配信,,Amazon Prime Video,,,,
2021-10-04,,配信,,FOD,,,,
2021-10-04,,配信,,ニコニコチャンネル,,,,
2021-10-04,,配信,,TSUTAYA TV,,,,
2021-10-04,,配信,,Rakuten TV,,,,
2021-10-04,,配信,,ビデオマーケット,,,,
2021-10-04,,配信,,GYAO!ストア,,,,
2021-10-04,,配信,,DMM.com,,,,
2021-10-04,,配信,,GYAO!,,,,
2021-10-04,,配信,,ニコニコ生放送,,,,
2021-10-04,,配信,,ABEMA,,,,
