開始,終了,タイプ,放送局,配信サイト,時間
2021-06-06,2021-09-19,放送,テレビ東京（製作局）をはじめとするテレビ東京系列全6局,,日曜 10:00 - 10:30
2021-06-13,2021-09-26,放送,テレビ新広島,,日曜 5:30 - 6:00
2021-06-13,2021-09-26,放送,仙台放送,,日曜 6:30 - 7:00
2021-06-07,2021-09-20,配信,,ニコニコチャンネル,月曜 17:00 更新
2021-06-07,2021-09-20,配信,,GYAO!,月曜 17:00 更新
2021-06-07,2021-09-20,配信,,dアニメストア,月曜 17:00 更新
2021-06-07,2021-09-20,配信,,Rakuten TV,月曜 17:00 更新
2021-06-07,2021-09-20,配信,,DMM動画,月曜 17:00 更新
2021-06-07,2021-09-20,配信,,dTV,月曜 17:00 更新
2021-06-07,2021-09-20,配信,,ビデオマーケット,月曜 17:00 更新
2021-06-07,2021-09-20,配信,,ニコニコ生放送,月曜 21:30 - 22:00
