開始,終了,タイプ,放送局,配信サイト,時間,期間
2023-01-06,2023-03-24,放送,TBS,,金曜 1:28 - 1:58（木曜深夜）,2023年1月6日 - 3月24日
2023-01-06,2023-03-24,放送,BS11,,金曜 23:30 - 土曜 0:00,2023年1月6日 - 3月24日
2023-01-15,,放送,TBSチャンネル1,,日曜 1:30 - 2:00（土曜深夜）,2023年1月15日 -
2022-01-06,,配信,,DMM TV,金曜 2:00（木曜深夜） 更新,2022年1月6日
2022-01-06,,配信,,dアニメストア,金曜 2:00（木曜深夜） 更新,2022年1月6日
2022-01-11,,配信,,U-NEXT,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,アニメ放題,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,ABEMA,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,バンダイチャンネル,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,Hulu,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,FOD,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,Amazon Prime Video,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,ニコニコチャンネル,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,GYAO!,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,Amazonビデオ,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,ビデオマーケット,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,music.jp,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,GYAO!ストア,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-11,,配信,,クランクイン！ビデオ,水曜 2:00（火曜深夜） 更新,2022年1月11日
2022-01-12,,配信,,TELASA,木曜 0:00（水曜深夜） 更新,2022年1月12日
2022-01-12,,配信,,J:COMオンデマンドメガパック,木曜 0:00（水曜深夜） 更新,2022年1月12日
2022-01-12,,配信,,milplus,木曜 0:00（水曜深夜） 更新,2022年1月12日
2022-01-12,,配信,,auスマートパスプレミアム,木曜 0:00（水曜深夜） 更新,2022年1月12日
2022-01-12,,配信,,ニコニコ生放送,木曜 0:00（水曜深夜） 更新,2022年1月12日
2022-01-13,,配信,,HAPPY!動画,金曜 12:00 更新,2022年1月13日
