開始,終了,タイプ,放送局,配信サイト,時間
2020-10-14,2020-12-30,放送,AT-X,,水曜 23:05 - 23:10
2020-10-14,,配信,,dアニメストア,水曜 23:10 更新
2020-10-21,,配信,,U-NEXT,水曜 23:10 更新
2020-10-21,,配信,,アニメ放題,水曜 23:10 更新
2020-10-21,,配信,,ニコニコチャンネル,水曜 23:10 更新
2020-10-21,,配信,,FOD,水曜 23:10 更新
2020-10-21,,配信,,ひかりTV,水曜 23:10 更新
2020-10-21,,配信,,ビデオマーケット,水曜 23:10 更新
2020-10-21,,配信,,music.jp,水曜 23:10 更新
2020-10-21,,配信,,GYAO!,水曜 23:10 更新
2020-10-21,,配信,,Rakuten TV,水曜 23:10 更新
2020-10-21,,配信,,クランクイン！ビデオ,水曜 23:10 更新
2020-10-21,,配信,,バンダイチャンネル,水曜 23:30 更新
2020-10-22,,配信,,TELASA,木曜 0:00（水曜深夜） 更新
2020-10-22,,配信,,J:COMオンデマンド,木曜 0:00（水曜深夜） 更新
2020-10-22,,配信,,milplus,木曜 0:00（水曜深夜） 更新
2020-10-22,,配信,,ABEMA,木曜 1:00（水曜深夜） 更新
2020-10-22,,配信,,HAPPY!動画,木曜 12:00 更新
