開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-10-03,2021-03-20,放送,読売テレビ（制作局）をはじめとする日本テレビ系列フルネット局28局[注 28],,土曜 17:30 - 18:00,2020年10月3日 - 2021年3月20日
2020-10-04,2021-03-21,放送,テレビ大分,,日曜 7:00 - 7:30,2020年10月4日 - 2021年3月21日
2020-10-30,2021-04-16,放送,日テレプラス,,金曜 1:30 - 2:00（木曜深夜）,2020年10月30日 - 2021年4月16日
2020-10-03,,配信,,ytv MyDo!,土曜 18:00 更新,2020年10月3日
2020-10-03,,配信,,TVer,土曜 18:00 更新,2020年10月3日
2020-10-03,,配信,,GYAO!,土曜 18:00 更新,2020年10月3日
2020-10-03,,配信,,Hulu,土曜 18:00 更新,2020年10月3日
2020-10-08,,配信,,バンダイチャンネル,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,ふらっと動画,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,TELASA,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,J:COMオンデマンド,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,auスマートパスプレミアム,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,dTV,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,dアニメストア,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,U-NEXT,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,アニメ放題,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,ひかりTV,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,Netflix,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,Amazon Prime Video,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,Rakuten TV,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,GYAO!ストア,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,ビデオマーケット,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,DMM.com,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,Google Play,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,HAPPY!動画,木曜 0:00（水曜深夜） 更新,2020年10月8日
2020-10-08,,配信,,ムービーフルplus,木曜 0:00（水曜深夜） 更新,2020年10月8日
2021-10-02,2022-03-26,放送,読売テレビ（制作局）をはじめとする日本テレビ系列フルネット局28局[注 28],,土曜 17:30 - 18:00,2021年10月2日 - 2022年3月26日
2021-10-03,2022-03-27,放送,テレビ大分,,日曜 7:00 - 7:30,2021年10月3日 - 2022年3月27日
2021-10-27,,放送,日テレプラス,,水曜 0:30 - 1:00（火曜深夜）,2021年10月27日 -
2021-10-02,,配信,,TVer,土曜 18:00 更新,2021年10月2日
2021-10-02,,配信,,GYAO!,土曜 18:00 更新,2021年10月2日
2021-10-02,,配信,,ytv MyDo!,土曜 18:00 更新,2021年10月2日
2021-10-02,,配信,,Hulu,土曜 18:00 更新,2021年10月2日
2021-10-02,,配信,,Amazon Prime Video,土曜 18:00 更新,2021年10月2日
2021-10-07,,配信,,バンダイチャンネル,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,TELASA,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,J:COMオンデマンド メガパック,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,milplus,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,auスマートパスプレミアム,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,dアニメストア,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,U-NEXT,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,アニメ放題,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,ひかりTV,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,Netflix,木曜 0:00（水曜深夜） 更新,2021年10月7日
2021-10-07,,配信,,dTV,木曜 18:00 更新,2021年10月7日
2021-10-14,,配信,,ふらっと動画,木曜 12:00 更新,2021年10月14日
,,配信,,Rakuten TV,不明,不明
,,配信,,GYAO!ストア,不明,不明
,,配信,,ビデオマーケット,不明,不明
,,配信,,DMM.com,不明,不明
,,配信,,TSUTAYA TV,不明,不明
,,配信,,Google Play,不明,不明
,,配信,,music.jp,不明,不明
,,配信,,HAPPY!動画,不明,不明
,,配信,,ムービーフルplus,不明,不明
