期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2020年1月9日 - 4月16日,木曜 23:00 - 23:30,AT-X,日本全域,製作参加 / CS放送,放送,2020-01-09,2020-04-16,
2020年1月9日 - 4月16日,木曜 23:30 - 24:00,TOKYO MX,日本全域,,放送,2020-01-09,2020-04-16,
2020年1月9日 - 4月16日,木曜 23:30 - 24:00,BS11,日本全域,,放送,2020-01-09,2020-04-16,
2020年1月10日 - 4月17日,木曜 24:30 - 25:00,サンテレビ,日本全域,,放送,2020-01-10,2020-04-17,
2020年1月9日 - 4月16日,木曜 23:30 - 24:00,dアニメストア,日本全域,地上波同時 最速先行配信開始！,配信,2020-01-09,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,AbemaTV,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,Amazon Prime video,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,auスマートパスプレミアム,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,FOD,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,GYAO!,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,J:COMオンデマンド,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,NETFLIX,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,ニコニコ動画,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,バンダイチャンネル,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,ビデオパス,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,Hulu,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,U-NEXT,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,Google Play,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,DMM.com,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,ビデオマーケット,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,PlayStation™Video,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,music.jp,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,ムービーフルplus,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,RakutenTV,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,TSUTAYA TV,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
2020年1月16日 - 4月16日,木曜 23:30以降,アニメホーダイ,日本全域,順次配信開始！,配信,2020-01-16,2020-04-16,
